euclid_id,hst_id,jwst_id,ra_ref,dec_ref,n_epochs,has_HST,has_JWST,pm_ra_mas_yr,pm_dec_mas_yr,pm_tot_mas_yr,dra_HE_mas,ddec_HE_mas,dra_JE_mas,ddec_JE_mas
VIS_101539935_0137351,F814W_020_0188869,,149.6029715770572,1.5733032072778033,2,True,False,-52.80005798679937,16.409160800607154,55.291108521981705,-1029.6011307425877,319.9786356118395,,
VIS_101539935_0137723,F814W_020_0190558,,149.56176040572893,1.5773344239400622,2,True,False,30.870903071852307,-41.995092841390786,52.12101763423976,601.98260990112,-818.9043104071203,,
VIS_101539935_0137833,F814W_020_0190942,,149.58811866493508,1.5785140581962924,2,True,False,-42.34082471341306,8.900780760721606,43.266260938084336,-825.6460819115547,173.56522483407133,,
VIS_101539935_0137916,F814W_020_0191273,,149.56206905838087,1.5792910269587028,2,True,False,-2.1906486776399317,2.9705071684478392,3.690915125906525,-42.71764921397867,57.92488978473287,,
VIS_101539935_0137983,F814W_020_0191670,,149.5942238082319,1.5797986277618488,2,True,False,46.269976927914314,-102.5980556097449,112.54897502780747,902.2645500943291,-2000.6620843900257,,
VIS_101539935_0138058,F814W_020_0191773,,149.59598512281804,1.580589089131898,2,True,False,-2.120834056730432,-3.728655445405921,4.289616361254568,-41.35626410624342,-72.70878118541546,,
VIS_101539935_0138083,F814W_021_0222682,,149.5580937731639,1.5808341343434307,2,True,False,234.2279835994707,-84.38992736659729,248.96668078683436,4567.445680189679,-1645.6035836486471,,
VIS_101539935_0138087,F814W_021_0222586,,149.5623501088882,1.5808937625672046,2,True,False,-49.1849823623685,-46.09307879758644,67.40722812152279,-959.1071560661858,-898.8150365529357,,
VIS_101539935_0138093,F814W_020_0191928,,149.56107963455554,1.5809042630071544,2,True,False,-113.25514067080974,-9.867377235746215,113.6841766556693,-2208.47524308079,-192.4138560970512,,
VIS_101539935_0138137,F814W_020_0191977,,149.56317240627294,1.5812590261026591,2,True,False,-11.657979545646333,37.81996667516005,39.57598219118415,-227.33060114010348,737.489350165621,,
VIS_101539935_0138191,F814W_020_0192416,,149.59241869053213,1.5816818383733775,2,True,False,-30.12025578752237,-43.30204237673522,52.74748034458469,-587.3449878566862,-844.3898263463368,,
VIS_101539935_0138192,F814W_020_0192465,,149.5919331078039,1.5816954827570167,2,True,False,-9.28506318142023,-66.43771804404854,67.0834016518502,-181.05873203769448,-1295.5355018589464,,
VIS_101539935_0138207,F814W_020_0192410,,149.5935274600562,1.5818754650073477,2,True,False,-4.658384451060264,-2.631590608646552,5.350309787797036,-90.83849679567514,-51.31601686860776,,
VIS_101539935_0138235,F814W_020_0192521,,149.59374235921948,1.5821713838047542,2,True,False,-2.1973972676990368,-2.8238375225424326,3.5780739380020887,-42.84924672013122,-55.06483168957743,,
VIS_101539935_0138248,F814W_020_0192549,,149.5938040032653,1.5822574821156519,2,True,False,-3.46406156879131,-3.165859060525979,4.6928015239823795,-67.54920059143055,-61.73425168025659,,
VIS_101539935_0138249,F814W_020_0192558,,149.59398826426875,1.582279571609202,2,True,False,-3.6480233991455133,-3.29045465951284,4.912755498396287,-71.13645628333751,-64.16386586050038,,
VIS_101539935_0138261,F814W_020_0192546,,149.59288203193992,1.5823492501550378,2,True,False,-53.43200471015528,16.804537467644074,56.01224515092669,-1041.924091848028,327.6884806190594,,
VIS_101539935_0138267,F814W_020_0192571,,149.592319598133,1.5824063672375432,2,True,False,-23.56337369314419,11.595188396353361,26.261777810150008,-459.4857870163117,226.10617372889052,,
VIS_101539935_0138269,F814W_020_0192593,,149.56280098172488,1.5823555862606151,2,True,False,-0.1394578959036098,-2.9988782229996613,3.0021191017532045,-2.719428970120391,-58.47812534849339,,
VIS_101539935_0138278,F814W_020_0192720,,149.5924944046564,1.5825348750348593,2,True,False,-58.688414996741265,-34.77786185451547,68.21898364825942,-1144.4240924364547,-678.1683061630517,,
VIS_101539935_0138297,F814W_020_0192692,,149.5978257006529,1.5826303977462837,2,True,False,-1.2508656122222843,-3.6337545733016006,3.843024470235719,-24.391879438334545,-70.8582141793812,,
VIS_101539935_0138304,F814W_020_0192716,,149.59333767836037,1.5826871815336303,2,True,False,-4.347070162178323,-2.8727875947636834,5.210559236735456,-84.7678681624773,-56.019358097891825,,
VIS_101539935_0138305,F814W_020_0192783,,149.59198688537072,1.5827006192585078,2,True,False,-47.83765562396127,-31.108910757938503,57.06317222291533,-932.8342846672448,-606.6237597798008,,
VIS_101539935_0138348,F814W_020_0193039,,149.59374535531947,1.5830966607255488,2,True,False,0.4483173290003745,-47.12672340302286,47.12885578000493,8.742187915507303,-918.9711063589457,,
VIS_101539935_0138362,F814W_021_0223664,,149.52523359247647,1.5831794947300548,2,True,False,5.723702501321483,-18.120701630449567,19.003173364030847,111.61219877576892,-353.35368179376655,,
VIS_101539935_0138370,F814W_020_0193013,,149.59412413254583,1.5832925859725255,2,True,False,-1.5675541318063122,-2.8247709493756954,3.23056602975081,-30.567305570223088,-55.08303351282606,,
VIS_101539935_0138376,F814W_020_0192948,,149.59221967515995,1.5832837277301626,2,True,False,-41.8176501538754,11.819224432927037,43.455838854954976,-815.4441780005703,230.4748764420772,,
VIS_101539935_0138381,F814W_020_0193034,,149.59266184070327,1.5833365719190324,2,True,False,1.8660603679197567,-3.0069427020124477,3.5389102432679382,36.388177174435256,-58.63538268924273,,
VIS_101539935_0138389,F814W_020_0193125,,149.59302142106003,1.5833742409319578,2,True,False,-41.73681475275273,-18.366564731814734,45.59925882899346,-813.8678876786782,-358.1480122703873,,
VIS_101539935_0138391,F814W_020_0193227,,149.59460781927515,1.5834009161644425,2,True,False,-57.74919398551872,-34.90603492109629,67.47889062432685,-1126.109282717615,-680.6676809613776,,
