found_in,star_id,ra,dec,mag,peak,snr,tile,missing_jwst,missing_hst,in_jwst_fp,in_hst_fp,missing_euclid,in_euclid_fp,in_jwst_pix,in_hst_pix,real_orphan,gaia_bright_veto
Euclid VIS,VIS_101541376_0505006,149.9188614543136,1.7252522470361205,0.19294250011444092,0.044411152601242065,38.61909866333008,101541376,False,True,False,True,False,False,False,True,True,False
Euclid VIS,VIS_101545696_1530299,149.86405197946584,2.640124177208997,1.0016801357269287,0.0539071150124073,38.61806869506836,101545696,False,True,False,True,False,False,False,True,True,False
Euclid VIS,VIS_101547135_1804788,149.88977847086804,2.6754386508964108,0.5554383993148804,0.06725038588047028,38.6175537109375,101547135,False,True,False,True,False,False,False,True,True,False
Euclid VIS,VIS_101544256_1154764,149.7752969830835,2.2814459004341923,0.7230624556541443,0.043799299746751785,38.61663055419922,101544256,True,True,True,True,False,False,False,True,True,False
Euclid VIS,VIS_101545698_1568908,150.3328748140976,2.370043169012656,0.25000980496406555,0.06160813570022583,38.6165885925293,101545698,True,True,True,True,False,False,False,True,True,False
JWST F115W,F115W_A2_0173467,150.04169806371567,2.157781187920386,-3.4364521503448486,1.1400471925735474,38.61532211303711,A2,False,True,False,True,False,True,True,True,True,False
Euclid VIS,VIS_101541375_0471869,149.49643646185362,1.785737704178996,0.7065197825431824,0.04954607039690018,38.614776611328125,101541375,False,True,False,True,False,False,False,True,True,False
JWST F115W,F115W_B2_0761186,150.12403454443967,2.4464669975836397,-2.9404592514038086,1.1517943143844604,38.61419677734375,B2,False,True,False,True,True,True,True,True,True,False
Euclid VIS,VIS_101547137_2005823,150.26196120336482,2.733318978619168,0.8080231547355652,0.07234831154346466,38.61415481567383,101547137,False,True,False,True,False,False,False,True,True,False
JWST F115W,F115W_B8_1159517,150.16816376223233,2.389961639129604,-3.3577322959899902,1.114721655845642,38.614044189453125,B8,False,True,False,True,True,True,True,True,True,False
Euclid VIS,VIS_101544256_1187608,149.71551404253196,2.3907080486294254,0.25671279430389404,0.04379485547542572,38.61271286010742,101544256,False,True,False,True,False,False,False,True,True,False
JWST F115W,F115W_B8_1158080,150.1350957368646,2.3993129983856107,-2.9104971885681152,1.114673376083374,38.612369537353516,B8,False,True,False,True,True,True,True,True,True,False
JWST F115W,F115W_B7_1060331,149.95368087196906,2.346157657594335,-3.0790514945983887,1.1371335983276367,38.60960006713867,B7,False,True,False,True,True,True,True,True,True,False
Euclid VIS,VIS_101545700_1746786,150.74834093052988,2.5759236204899882,0.11699459701776505,0.06612012535333633,38.60757064819336,101545700,False,True,False,True,False,False,False,True,True,False
Euclid VIS,VIS_101544257_1209501,149.99869415774413,2.2478761004277508,0.035948920994997025,0.04815112426877022,38.60744857788086,101544257,True,True,True,True,False,False,True,True,True,False
Euclid VIS,VIS_101545697_1549426,150.10795426545175,2.506660743494953,0.8789872527122498,0.055372487753629684,38.607295989990234,101545697,False,True,True,True,False,False,True,True,True,False
Euclid VIS,VIS_101544258_1263604,150.39144479537327,2.270723735988832,0.6598300933837891,0.053664885461330414,38.606109619140625,101544258,True,True,True,True,False,False,True,True,True,False
Euclid VIS,VIS_101545696_1507183,149.9778808463377,2.5662315623427885,0.4936227798461914,0.05388890579342842,38.60502243041992,101545696,True,True,True,True,False,False,True,True,True,False
JWST F115W,F115W_A4_0295842,150.21469917402194,2.007566575311773,-3.500309467315674,1.1397919654846191,38.60480880737305,A4,False,True,False,True,True,True,True,True,True,False
Euclid VIS,VIS_101547136_1900640,150.2133746362361,2.642671625248227,0.40923359990119934,0.07437337189912796,38.60398864746094,101547136,False,True,False,True,False,False,False,True,True,False
Euclid VIS,VIS_101541379_0558558,150.52777401869582,1.65671101591552,0.7638726234436035,0.057531896978616714,38.60304260253906,101541379,False,True,False,True,False,False,False,True,True,False
Euclid VIS,VIS_101541375_0465473,149.46750960795245,1.7428577182733551,0.7236617803573608,0.04952825605869293,38.60089111328125,101541375,False,True,False,True,False,False,False,True,True,False
JWST F115W,F115W_B7_1064533,150.0049683892542,2.3449657729922286,-3.4125819206237793,1.1368576288223267,38.6002311706543,B7,False,True,False,True,True,True,False,True,True,False
Euclid VIS,VIS_101539938_0285175,150.36802515944976,1.6031732858430057,0.8112515211105347,0.04732159525156021,38.60012435913086,101539938,False,True,False,True,False,False,False,True,True,False
JWST F115W,F115W_B4_0891594,150.40851769051315,2.3941743852163437,-3.4575841426849365,1.1434098482131958,38.59789276123047,B4,False,True,False,True,False,True,True,True,True,False
Euclid VIS,VIS_101541376_0493776,149.8815325282201,1.6476337224942827,0.8044813871383667,0.044386718422174454,38.59785461425781,101541376,False,True,False,True,False,False,False,True,True,False
JWST F115W,F115W_A7_0515180,149.89536529453875,2.090377437526141,-3.469386339187622,1.141767144203186,38.59651565551758,A7,False,True,False,True,True,True,False,True,True,False
JWST F115W,F115W_A4_0334291,150.25037141350663,2.1445414803350076,-3.500993251800537,1.1395412683486938,38.596317291259766,A4,False,True,False,True,True,True,True,True,True,False
Euclid VIS,VIS_101545697_1562934,150.17849034526685,2.609105401559473,1.1404857635498047,0.0553557462990284,38.59562301635742,101545697,False,True,False,True,False,False,False,True,True,False
Euclid VIS,VIS_101544256_1147880,149.93460907622793,2.2394137802074767,1.4292138814926147,0.0437748022377491,38.59503173828125,101544256,True,True,True,True,False,False,False,True,True,False
Euclid VIS,VIS_101541376_0493983,149.8418717733984,1.6490773760275121,1.0088082551956177,0.04438333958387375,38.594913482666016,101541376,False,True,False,True,False,False,False,True,True,False
Euclid VIS,VIS_101542816_0777443,149.6808783068216,2.0339034668063696,-0.031467314809560776,0.05478725582361221,38.594276428222656,101542816,False,True,False,True,False,False,False,True,True,False
Euclid VIS,VIS_101544256_1144963,149.71150081585918,2.2207963336177547,0.7225968837738037,0.04377380385994911,38.594154357910156,101544256,False,True,False,True,False,False,False,True,True,False
Euclid VIS,VIS_101544256_1132165,149.97012085258137,2.1365798035973955,0.28614723682403564,0.04377344250679016,38.593833923339844,101544256,True,True,True,True,False,False,True,True,True,False
Euclid VIS,VIS_101541379_0570257,150.57820799703083,1.7620574405469254,0.18300914764404297,0.05751815438270569,38.59382247924805,101541379,False,True,False,True,False,False,False,True,True,False
JWST F115W,F115W_B4_0914837,150.3953961593259,2.477557599624343,-2.761329174041748,1.1432716846466064,38.59322738647461,B4,False,True,False,True,True,True,True,True,True,False
JWST F115W,F115W_B5_0938913,150.44793067775674,2.3049715341838652,-3.2997426986694336,1.1850067377090454,38.59239959716797,B5,False,True,False,True,True,True,False,True,True,False
Euclid VIS,VIS_101541375_0470055,149.6556274814945,1.7731193184483778,0.08454204350709915,0.049515869468450546,38.59123992919922,101541375,False,True,False,True,False,False,False,True,True,False
JWST F115W,F115W_A7_0492408,149.88626519761175,2.009693234182312,-3.4756157398223877,1.1416056156158447,38.59105682373047,A7,False,True,False,True,True,True,True,True,True,False
Euclid VIS,VIS_101544256_1129397,149.73862715625017,2.117212410495266,1.4195973873138428,0.0437680184841156,38.589054107666016,101544256,True,True,True,True,False,False,False,True,True,False
JWST F115W,F115W_B9_1195468,150.3311828061162,2.22897539958305,-2.463914632797241,1.1273720264434814,38.58842468261719,B9,False,True,False,True,True,True,False,True,True,False
Euclid VIS,VIS_101539938_0285295,150.4007390334865,1.6038848964006776,0.9665391445159912,0.04730691388249397,38.5881462097168,101539938,False,True,False,True,False,False,False,True,True,False
JWST F115W,F115W_A9_0589519,150.16815125261667,1.8154027129196288,-3.318117141723633,1.1398351192474365,38.58779525756836,A9,False,True,False,True,True,True,True,True,True,False
JWST F115W,F115W_B5_0948828,150.4895552721748,2.361991725659181,-3.3436214923858643,1.184819221496582,38.5862922668457,B5,False,True,False,True,True,True,True,True,True,False
Euclid VIS,VIS_101544256_1173314,149.89687450405708,2.360697048636369,0.27845215797424316,0.04376405104994774,38.58555603027344,101544256,True,True,True,True,False,False,True,True,True,False
Euclid VIS,VIS_101547136_1907744,150.2593181412982,2.711117227616868,0.6903246641159058,0.07433512806892395,38.584136962890625,101547136,False,True,False,True,False,False,False,True,True,False
Euclid VIS,VIS_101544256_1145830,149.87164381607818,2.226417725558103,0.7754859328269958,0.04376198723912239,38.583736419677734,101544256,False,True,True,True,False,False,True,True,True,False
Euclid VIS,VIS_101541379_0567745,150.6570312637261,1.741977629365217,-0.22833003103733063,0.05750270560383797,38.583457946777344,101541379,False,True,False,True,False,False,False,True,True,False
Euclid VIS,VIS_101545697_1541733,150.02398928946738,2.4437549931003093,-0.04639590531587601,0.05533665046095848,38.58230972290039,101545697,True,True,True,True,False,False,True,True,True,False
Euclid VIS,VIS_101542817_0800547,150.047075755363,1.87329987840593,0.6483452320098877,0.05247519165277481,38.579742431640625,101542817,True,True,True,True,False,False,True,True,True,False
JWST F115W,F115W_A10_0079510,150.27919616998102,1.7642841892358836,-3.4675381183624268,1.1410378217697144,38.578956604003906,A10,False,True,False,True,True,True,False,True,True,False
Euclid VIS,VIS_101541376_0525272,149.8303690490551,1.8570093215322225,1.3512338399887085,0.04436491057276726,38.578887939453125,101541376,False,True,False,True,False,False,False,True,True,False
Euclid VIS,VIS_101544258_1238996,150.44243695110993,2.128973494827414,0.2807941138744354,0.05362503230571747,38.57744216918945,101544258,True,True,True,True,False,False,False,True,True,False
Euclid VIS,VIS_101541376_0519139,149.73516170259373,1.8177042149551825,1.3113194704055786,0.044359948486089706,38.5745735168457,101541376,False,True,False,True,False,False,False,True,True,False
Euclid VIS,VIS_101547136_1909641,150.05191853223496,2.730186505094809,-0.07932421565055847,0.07431575655937195,38.5740852355957,101547136,False,True,False,True,False,False,False,True,True,False
Euclid VIS,VIS_101544258_1259884,150.47536137287852,2.241093208553524,0.8118250966072083,0.05361936613917351,38.5733642578125,101544258,False,True,True,True,False,False,True,True,True,False
Euclid VIS,VIS_101544258_1233667,150.416161750375,2.1154537240609925,0.020347200334072113,0.05361766368150711,38.572139739990234,101544258,True,True,True,True,False,False,False,True,True,False
Euclid VIS,VIS_101542817_0832323,150.17764399556538,1.9530032663923573,0.9648323655128479,0.05246463790535927,38.571983337402344,101542817,True,True,True,True,False,False,False,True,True,False
Euclid VIS,VIS_101541375_0485686,149.63135224911414,1.8803589683717137,0.6921529173851013,0.04948621243238449,38.56812286376953,101541375,False,True,False,True,False,False,False,True,True,False
