euclid_id,ra_ref,dec_ref,n_epochs,pm_ra_mas_yr,pm_dec_mas_yr,pm_ra_err,pm_dec_err,pm_tot_mas_yr,sharp_F115W,mag_F115W,mag_F814W,mag_VIS
VIS_101547137_2034626,150.33381358630842,2.7636122222194954,2,-83.78057008370426,48.65509340662519,2.761622978017693,2.761622978017693,96.88396171688018,0.73025405,,,1.6926117
VIS_101545698_1584727,150.4548265683401,2.496413367081516,2,82.20300305502583,48.924627819711404,2.761622978017693,2.761622978017693,95.66061320398205,0.67124224,,,1.0248754
VIS_101545697_1554756,150.01377938345158,2.5492781430119544,3,-93.2685016986231,14.429531795408947,1.2931768551410134,1.2931768551410134,94.37809489993309,0.6796779,-1.7532072,,1.2098005
VIS_101545697_1559422,150.1659586565138,2.5833454669498477,2,17.890329207417818,91.82995894420822,2.761622978017693,2.761622978017693,93.55642810007635,0.63868576,,,1.7196966
VIS_101545694_1402737,149.4684453692365,2.3593729642638817,2,74.37860023503657,54.33959705784398,2.761622978017693,2.761622978017693,92.11388593112457,0.61100465,,,1.3609339
VIS_101539937_0243034,150.0176587724775,1.6015191557331392,2,85.58346294471981,-33.3566883881804,2.761622978017693,2.761622978017693,91.85422031587007,0.6981727,,,-2.9448042
VIS_101541379_0577984,150.62406015932353,1.8247229456238836,2,-87.69390239105238,27.05565911969534,2.761622978017693,2.761622978017693,91.77270404086705,0.7399517,,,0.6782529
VIS_101542818_0908077,150.34649665434836,2.000336674991688,2,-79.1007176250212,-46.04324053242036,2.761622978017693,2.761622978017693,91.52542557956043,0.7005367,,,0.71296525
VIS_101544260_1384394,150.76592804074568,2.3392815927230406,2,56.20774700467253,71.31505875672849,2.761622978017693,2.761622978017693,90.80279967499301,0.6600163,,,1.3729869
VIS_101544258_1258510,150.28775729216457,2.230273784292624,3,-44.11372359242925,-78.65090250323475,1.2931768551410134,1.2931768551410134,90.17751978050066,0.6076625,-1.1756326,,1.6837072
VIS_101544256_1157831,149.93723812187983,2.298878332148053,3,48.43010283363678,74.82350277601064,1.2931768551410134,1.2931768551410134,89.12929612730208,0.5939783,-2.1852343,,1.7581825
VIS_101544257_1192589,150.1392775002774,2.1395037896196523,2,17.287314770954325,-86.85258805706682,2.761622978017693,2.761622978017693,88.55632842547506,0.7143287,,,1.6340266
VIS_101545698_1569340,150.28374393017435,2.3740349085525305,2,-2.7964191089443906,87.66886587434458,2.761622978017693,2.761622978017693,87.71345394822102,0.6104537,,0.41043764,0.6921246
