id,T_bb,dm,chi2,dof,chi2_red,n_fit_bands,is_agn_qso,mag_obs_F814W,magerr_F814W,mag_pred_F814W,delta_F814W,mag_obs_F115W,magerr_F115W,mag_pred_F115W,delta_F115W,mag_obs_F150W,magerr_F150W,mag_pred_F150W,delta_F150W,mag_obs_F277W,magerr_F277W,mag_pred_F277W,delta_F277W,mag_obs_F444W,magerr_F444W,mag_pred_F444W,delta_F444W,mag_obs_Euclid_VIS,magerr_Euclid_VIS,mag_pred_Euclid_VIS,delta_Euclid_VIS,mag_obs_Euclid_Y,magerr_Euclid_Y,mag_pred_Euclid_Y,delta_Euclid_Y,mag_obs_Euclid_J,magerr_Euclid_J,mag_pred_Euclid_J,delta_Euclid_J,mag_obs_Euclid_H,magerr_Euclid_H,mag_pred_Euclid_H,delta_Euclid_H,mag_obs_CFHT_u,magerr_CFHT_u,mag_pred_CFHT_u,delta_CFHT_u,mag_obs_HSC_g,magerr_HSC_g,mag_pred_HSC_g,delta_HSC_g,mag_obs_HSC_r,magerr_HSC_r,mag_pred_HSC_r,delta_HSC_r,mag_obs_HSC_i,magerr_HSC_i,mag_pred_HSC_i,delta_HSC_i,mag_obs_HSC_z,magerr_HSC_z,mag_pred_HSC_z,delta_HSC_z,mag_obs_HSC_y,magerr_HSC_y,mag_pred_HSC_y,delta_HSC_y,mag_obs_IRAC_ch1,magerr_IRAC_ch1,mag_pred_IRAC_ch1,delta_IRAC_ch1,mag_obs_IRAC_ch2,magerr_IRAC_ch2,mag_pred_IRAC_ch2,delta_IRAC_ch2,mag_obs_IRAC_ch3,magerr_IRAC_ch3,mag_pred_IRAC_ch3,delta_IRAC_ch3,mag_obs_IRAC_ch4,magerr_IRAC_ch4,mag_pred_IRAC_ch4,delta_IRAC_ch4,mag_obs_MIRI_F770W,magerr_MIRI_F770W,mag_pred_MIRI_F770W,delta_MIRI_F770W,mag_obs_SDSS_u,magerr_SDSS_u,mag_pred_SDSS_u,delta_SDSS_u,mag_obs_SDSS_g,magerr_SDSS_g,mag_pred_SDSS_g,delta_SDSS_g,mag_obs_SDSS_r,magerr_SDSS_r,mag_pred_SDSS_r,delta_SDSS_r,mag_obs_SDSS_i,magerr_SDSS_i,mag_pred_SDSS_i,delta_SDSS_i,mag_obs_SDSS_z,magerr_SDSS_z,mag_pred_SDSS_z,delta_SDSS_z
193124,3219.1627171909477,126.84338347276304,434.57669400645045,12,36.214724500537535,14,False,23.659901,0.013955,23.563539221722266,0.09636177827773551,22.808922727053343,0.0014930462821236947,22.917654817606063,-0.1087320905527207,22.679839793745053,0.0009971986926155959,22.77172544999418,-0.0918856562491257,23.407180766695646,0.001025061921597418,23.099904130974124,0.30727663572152153,23.871157947760665,0.0017750218543074257,23.713659047356316,0.15749890040434877,24.074471294594954,0.005570447841465096,23.862665054017313,0.21180624057764064,22.872826611157144,0.009666356960886618,22.995446673128697,-0.12262006197155273,22.693251605254225,0.008459482421700268,22.802416354357163,-0.10916474910293772,22.69240493724166,0.008405206282308005,22.78655750174927,-0.09415256450761333,,,28.075113075961454,,26.219124555797688,0.06235472087276257,25.831348386243036,0.3877761695546518,24.7164108566072,0.019421062106925,24.47294651579479,0.24346434081241242,23.582107249507818,0.007124722340335555,23.689470663396605,-0.10736341388878756,23.1206908706845,0.0072312476195902625,23.329410740093053,-0.20871986940855436,22.9085019486584,0.014173456755298002,23.14536282191223,-0.23686087325382843,,,23.402158060402996,,,,23.744184335056033,,,,24.135987034336225,,,,24.70408019289195,,,,24.644245837570566,,,,28.39855710100059,,,,25.97274297013125,,,,24.52245073642365,,,,23.789369095746252,,,,23.315700313287678,
192551,2969.6607492721273,124.76479642859347,1331.2108795948056,14,95.08649139962897,16,False,21.973726,0.00477,21.98239725721872,-0.008671257218722417,21.036941465941318,0.0003885189708832275,21.19626413906785,-0.1593226731265318,20.86329557855148,0.00025061639490222285,20.976940884571775,-0.11364530602029532,21.52117730462528,0.00016109203319237807,21.202888889399972,0.3182884152253074,21.981402301174167,0.0003268125625047487,21.777281999539994,0.20412030163417327,22.54846284672865,0.006208217522201819,22.31644465668286,0.23201819004578894,20.992523306906353,0.010759596898085588,21.296786472700717,-0.30426316579436374,20.873838868789363,0.009365610169193985,21.0314938848622,-0.15765501607283738,20.905859949798977,0.00956262738105483,20.956498739473673,-0.05063878967469648,,,27.077416271264966,,24.925787180530403,0.026669173634833825,24.56473841037311,0.36104877015729286,23.572270834364332,0.00990585226458757,23.03495972567285,0.5373111086914832,21.963008790223167,0.0027381210327635996,22.133523023056597,-0.1705142328334297,21.316475506516014,0.002510209892144044,21.710120443291473,-0.3936449367754591,21.03491070584201,0.003873748962968953,21.48657297194471,-0.45166226610270144,21.94819321515159,0.05486058349906566,21.48102054655523,0.467172668596362,22.249474742078796,0.032135295178993266,21.806462780800743,0.443011961278053,,,22.185630463773208,,,,22.74189833956214,,,,22.682881326274114,,,,27.434931339352474,,,,24.723978537529405,,,,23.094540790214253,,,,22.251095851311447,,,,21.691422318530186,
192231,2945.799809776949,124.67405952035844,1346.7221083039035,14,96.19443630742168,16,False,21.916632,0.004634,21.943516788422983,-0.026884788422982808,20.81694116073592,0.00023494681373693318,21.142713532379375,-0.3257723716434562,20.775286384503072,0.000174775430738529,20.915665821498138,-0.14037943699506528,21.46488344712308,0.00014988834859301644,21.13081355463099,0.3340698924920886,21.939926790223446,0.00030231870616652243,21.701047583231514,0.23887920699193188,22.49941220872858,0.006732987723410393,22.28105896014742,0.21835324858115968,20.97572118329491,0.013556126553056859,21.24562126742687,-0.2699000841319581,20.851668003884207,0.011901826904780977,20.972722176422337,-0.12105417253813044,20.839329653260684,0.011564644267936589,20.891496153087743,-0.052166499827059454,,,27.099518144233897,,24.886667789309577,0.034093880703472565,24.55867871223805,0.32798907707152836,23.592277807988868,0.015069823430110912,23.01105953664768,0.5812182713411893,21.981867577467916,0.005375043992427366,22.0973231772889,-0.11545559982098297,21.316922049318123,0.005000205835588531,21.667320432260453,-0.3503983829423305,21.00729966426624,0.006628822375994734,21.439624558345372,-0.4323248940791302,21.873408672314646,0.04850925349826116,21.406396190418732,0.4670124818959138,22.235639775525602,0.034976445952615315,21.730086667027606,0.5055531084979954,,,22.10792132024983,,,,22.662943334296656,,,,22.604012552695366,,,,27.460567622448607,,,,24.719785069514614,,,,23.071728854349985,,,,22.216756865698045,,,,21.6480689950007,
192635,3575.1136057330514,125.7651909778665,309.85928403241684,18,17.2144046684676,20,False,22.000896,0.004807,21.892512545276617,0.10838345472338418,21.429994488235554,0.00044270984719269334,21.412170470854477,0.017824017381077084,21.202158515071954,0.0002710449751115303,21.351795557911572,-0.14963704283961832,21.94220121548212,0.00023880557199329092,21.79831659202148,0.143884623460643,22.618195174886928,0.0005722406578241616,22.457669203930465,0.16052597095646348,22.36126956618275,0.00556801826479398,22.146611571314025,0.21465799486872328,21.49898681980401,0.01670314012712307,21.463314798019084,0.03567202178492579,21.27809444973142,0.015021992184600506,21.354496647100888,-0.07640219736946818,21.245380868094514,0.015319859640953221,21.407427661652548,-0.16204679355803364,26.668661821199265,0.19406145575036218,25.713118525777986,0.955543295421279,23.856277231402252,0.013079479350448599,23.78660979647198,0.06966743493027394,22.581431163821353,0.006797710229959687,22.63289849683747,-0.05146733301611661,21.88822975476166,0.004655120636476051,21.98969874466208,-0.1014689899004182,21.558651458082945,0.005292534462656311,21.705001567262002,-0.1463501091790569,21.34917582624713,0.007388469669097918,21.567204709628314,-0.21802888338118365,22.332401303871855,0.0681060295374412,22.128506006635888,0.20389529723596667,22.73551246470646,0.05016035080056028,22.489760437224675,0.24575202748178526,,,22.89625109495246,,,,23.47813158374217,,,,23.417346764225982,,,,25.995617642463344,,23.78056,0.3043149,23.906906316118636,-0.12634631611863512,22.48014,0.197132,22.671280479728694,-0.19114047972869486,22.02623,0.1955917,22.068996150244686,-0.04276615024468455,,,21.69648846235816,
192404,4936.671268330421,126.77815986166367,311.5720975871004,18,17.309560977061135,20,False,21.580265,0.003767,21.402651859407953,0.17761314059204736,21.602078802166723,0.0005370690918475816,21.3267371857755,0.27534161639122345,21.294822235203764,0.00029839972290744005,21.470512169547348,-0.17568993434358404,22.216491716550543,0.0003569311129048072,22.196796622650936,0.019695093899606775,22.995409101426624,0.0008634156866223406,22.96464405062693,0.030765050799693938,21.754321743204944,0.0040798365375832825,21.52623832605174,0.22808341715320424,21.318294266658246,0.017738230526047245,21.31367347465067,0.004620792007575147,21.312111894853068,0.014850988732347395,21.40565421225584,-0.09354231740277186,21.39218402714308,0.016135291080493545,21.62227529221532,-0.23009126507223954,23.486858886563862,0.00941864770540216,23.50846757672396,-0.0216086901600967,22.2149811091304,0.0028311190818007016,22.364430523993377,-0.14944941486297836,21.66277795234498,0.002306860219084646,21.727932446731742,-0.06515449438676058,21.42863353682481,0.001890395877769151,21.433989797718496,-0.00535626089368435,21.320030750242275,0.00232663136083095,21.33634467963121,-0.016313929388935833,21.21575770482797,0.004791921784308967,21.309824925131082,-0.09406722030311343,22.74808800469099,0.09434691756992213,22.5933729553785,0.15471504931249314,23.150073513481253,0.0733061620494029,23.000504173335386,0.14956934014586665,,,23.442251510093854,,,,24.057439329351524,,,,23.99436827876967,,,,23.68646744611557,,22.48081,0.1052941,22.432675897908055,0.04813410209194657,21.76576,0.106839,21.74279976599098,0.022960234009019587,21.602,0.1376178,21.464075374541707,0.1379246254582931,,,21.33752551842825,
195672,3633.2649140076715,126.37952255901715,12696.32059158088,15,846.4213727720586,17,False,23.55245,0.015526,22.42068264597512,1.1317673540248805,22.441829365159084,0.0022380813555570142,21.964203909608656,0.47762545555042735,22.138268900245478,0.001273441205047565,21.91606475889627,0.2222041413492093,21.76206150690608,0.0004721333600698043,22.379445022731275,-0.6173835158251961,21.570156781216845,0.000544428580388649,23.04530110642027,-1.4751443252034235,23.765362581271592,0.004446816359124295,22.66792337074395,1.097439210527643,22.376659936831146,0.010807213972994965,22.01152397187434,0.36513596495680645,22.1993855212817,0.010095737717021188,21.914747501104017,0.2846380201776846,21.88379888765207,0.009570062445808195,21.977504962055846,-0.09370607440377654,24.228238233689773,0.013596254314470584,26.141347893507472,-1.9131096598176995,23.834019342013235,0.007519651811576158,24.260620734093777,-0.42660139208054204,23.595784949099983,0.007712264563726824,23.13668167278189,0.45910327631809267,23.319013560890376,0.006036651250132362,22.513812386102956,0.8052011747874204,22.908071862244597,0.006277176699507751,22.24003460406614,0.6680372581784582,22.501367946244827,0.010477957667691665,22.108871637680963,0.39249630856386375,21.767826912919666,0.04112258870080892,22.713617657380894,-0.9457907444612275,21.69560600530124,0.020483963954750252,23.077616480691916,-1.3820104753906755,,,23.486207290717857,,,,24.07006303172487,,,,24.009142252438068,,,,26.417871353624037,,,,24.377870169225062,,,,23.173530331052532,,,,22.590162632218977,,,,22.232210362262038,
193883,4035.0041201508056,128.14059616066172,292.6548048921363,7,41.80782927030519,9,False,23.795649,0.015818,23.652019957467914,0.14362904253208697,23.25358317901804,0.0035768121610421713,23.34079649113751,-0.08721331211947003,23.108775545181068,0.002333166586819448,23.36661045872509,-0.25783491354402344,24.21309761604432,0.0033394140834215823,23.9315892263664,0.2815083896779207,24.79521798951008,0.006711872891504033,24.636706487052876,0.1585115024572019,23.936421090856232,0.005414758444321828,23.855354742495493,0.08106634836073923,23.388909579558963,0.011964317644355271,23.364934173556392,0.02397540600257031,23.265503407380272,0.011233359659818205,23.340923921960183,-0.0754205145799105,23.206254858008286,0.00976303147407936,23.463019572576925,-0.25676471456863936,,,26.761682789051477,,,,25.16030913478687,,,,24.219355607846865,,,,23.72092506199634,,,,23.513927158586554,,,,23.422962139290746,,,,24.289799938353113,,,,24.67037953939223,,,,25.09168121523402,,,,25.687514315405437,,,,25.62577017883831,,,,27.001374612125446,,,,25.25896136301597,,,,24.24725849655931,,,,23.77945486483965,,,,23.509974920081845,
196859,2969.6607492721273,125.53572484280673,16247.413466757735,15,1083.160897783849,17,True,23.926907,0.040755,22.75332567143198,1.1735813285680194,22.574830976294752,0.0047108589858500145,21.96719255328111,0.6076384230136433,22.191240280319093,0.0023123440625154998,21.747869298785034,0.4433709815340592,21.543607475311788,0.0004854375168846353,21.97381730361323,-0.43020982830144305,21.219799246709982,0.0004996484537411521,22.548210413753253,-1.3284111670432708,25.34924342812688,0.021365455787724936,23.08737307089612,2.261870357230759,22.53982833596732,0.020122363974723372,22.067714886913976,0.47211344905334585,22.0566591706012,0.01694870808553334,21.80242229907546,0.25423687152574104,21.719017083639397,0.01569357578936433,21.727427153686932,-0.008410070047535356,24.754104737388527,0.033748926769788724,27.848344685478224,-3.0942399480896974,24.407857720459987,0.021849833670007382,25.33566682458637,-0.9278091041263821,24.200505893174938,0.024441351235838866,23.805888139886108,0.39461775328883064,23.708729525385518,0.016618820212437994,22.904451437269856,0.8042780881156624,23.367768296373825,0.01900990942749492,22.48104885750473,0.8867194388690933,22.877001750688095,0.027380468921075814,22.25750138615797,0.6195003645301256,21.34742829049116,0.028702036571098617,22.251948960768487,-0.9045206702773285,21.223199104449144,0.015133139817547192,22.577391195014002,-1.3541920905648581,,,22.956558877986467,,,,23.5128267537754,,,,23.453809740487372,,,,28.205859753565733,,,,25.494906951742664,,,,23.865469204427512,,,,23.022024265524706,,,,22.462350732743445,
193728,3067.0529588129534,127.07074398542683,942.2132540046598,14,67.30094671461856,16,False,24.277939,0.023369,24.084820113232524,0.19311888676747557,23.049787435587668,0.00280381027742854,23.35618160013,-0.3063941645423327,23.088066541225164,0.0022526485705374627,23.167045740827376,-0.07897919960221245,23.922266210825455,0.004104291087304709,23.435125871807614,0.4871403390178415,24.120654391367673,0.0033530928303062446,24.0257415128478,0.09491287851987096,24.783991223197827,0.02330762714951007,24.40488824587699,0.3791029773208372,23.189711891331417,0.026922766203004544,23.44736915271467,-0.2576572613832546,23.017156997520285,0.027417873317725022,23.211800833133637,-0.19464383561335197,23.00110876176943,0.02370421816608878,23.161143291025695,-0.16003452925626505,,,28.94077908816459,,27.536242117496954,0.2126616369466509,26.53839971203884,0.9978424054581154,26.094050738449948,0.06854685660493472,25.078687417219143,1.0153633212308044,24.303310298186027,0.013543465823239386,24.22552307690499,0.0777872212810351,23.56755991609174,0.01066841971182404,23.828033612705937,-0.2604736966141985,23.30175156962837,0.020206557450380976,23.620713858110037,-0.31896228848166785,23.86515543164063,0.2227522150788813,23.72319974384294,0.1419556877976902,24.11274737823851,0.16378015892312228,24.055475644338713,0.05727173389979612,,,24.439846347419248,,,,25.000980121288947,,,,24.941626538819676,,,,29.2843897998482,,,,26.690325451593935,,,,25.13406569654032,,,,24.33582517807703,,,,23.81144603052617,
193707,2875.361164021335,126.29821601517372,6969.059580839674,15,464.60397205597826,17,False,24.277317,0.031684,23.725633165951123,0.5516838340488768,23.39863197983771,0.0042582689333253146,22.880097693298396,0.5185342865393139,22.947603663965197,0.002290646051573846,22.62944204233446,0.31816162163073614,22.350219105039983,0.0010247171532967775,22.811531659043496,-0.4613125540035128,22.25520237771652,0.0012283979965600279,23.369033111024635,-1.113830733308113,25.071867480523142,0.010341421456612985,24.07365569334668,0.9982117871764622,23.37077446865902,0.02813010207226081,22.990287767494465,0.38048670116455696,22.972755772671512,0.024074309687317892,22.69413975104041,0.2786160216311018,22.760399691913733,0.022580351212901775,22.593862208168275,0.16653748374545785,25.742112508317817,0.06175384622572188,29.06756376955144,-3.3254512612336242,25.420753276339493,0.030630108180962876,26.440799432304104,-1.0200461559646108,24.829437058811042,0.021762055130232504,24.83886665274585,-0.009429593934807912,24.261260756140725,0.013207351693857831,23.887666760196993,0.37359399594373244,23.703620035624844,0.01225978041676855,23.437567712012054,0.2660523236127901,23.517155228779213,0.02464057199056761,23.197202939440842,0.31995228933837083,22.343663277776923,0.06477723456742102,23.079310650335785,-0.7356473725588621,22.454216514868747,0.03954578702487833,23.397638820717845,-0.9434223058490971,,,23.771394692801664,,,,24.322606597296556,,,,24.263939676083396,,,,29.43935785344175,,,,26.60759644701261,,,,24.90289397222216,,,,24.01278902114761,,,,23.416591711616434,
