found_in,star_id,ra,dec,mag,peak,snr,tile,missing_jwst,missing_hst,in_jwst_fp,in_hst_fp,missing_euclid,in_euclid_fp,in_jwst_pix,in_hst_pix,real_orphan,veto_gaia,veto_peak,veto_local,veto_any,sharpness
HST F814W,F814W_088_8247358,150.27885168482382,2.5029837568301865,-4.824551582336426,11.755558967590332,4191.181640625,088,True,False,True,False,True,True,True,True,True,False,False,False,False,0.5327299237251282
HST F814W,F814W_055_4452748,149.89538492446323,2.0077943055992624,-3.347266674041748,3.896120309829712,1419.295654296875,055,True,False,True,False,True,True,True,True,True,False,False,False,False,0.8107386231422424
HST F814W,F814W_088_8247373,150.27903762779172,2.5030117032907477,-2.704525947570801,3.061619520187378,1091.552001953125,088,True,False,True,False,True,True,True,True,True,False,False,False,False,0.7744903564453125
HST F814W,F814W_043_2936225,149.77155199511694,1.9286076512567425,-3.6577508449554443,2.352926015853882,882.6598510742188,043,True,False,True,False,True,True,True,True,True,False,False,False,False,0.49095454812049866
HST F814W,F814W_076_7159018,150.37285278805524,2.4433418420528312,-3.9691081047058105,2.2065742015838623,838.9956665039062,076,True,False,True,False,True,True,True,True,True,False,False,False,False,0.44614753127098083
HST F814W,F814W_040_2392468,150.22705541204834,1.8140280326408516,-3.8051726818084717,1.8277308940887451,706.0760498046875,040,True,False,True,False,True,True,True,True,True,False,False,False,False,0.4378151595592499
HST F814W,F814W_041_2571067,150.0769719400615,1.8545321896628377,-3.0942225456237793,1.4247075319290161,534.9656372070312,041,True,False,True,False,True,True,True,True,True,False,False,False,False,0.5382176637649536
HST F814W,F814W_052_3911905,150.3114032649337,2.0366987045728875,-3.4212136268615723,1.426009178161621,523.9642333984375,052,True,False,True,False,True,True,True,True,True,False,False,False,False,0.4707009792327881
HST F814W,F814W_076_7093665,150.30092486083112,2.340391317540332,-3.2686994075775146,1.349293828010559,513.0358276367188,076,True,False,True,False,True,True,True,True,True,False,False,False,False,0.45650607347488403
HST F814W,F814W_042_2729977,150.02915757154037,1.8441476459675106,-2.06900691986084,1.4859563112258911,512.1401977539062,042,True,False,True,False,True,True,True,True,True,False,False,False,False,0.7978767156600952
HST F814W,F814W_079_7482276,149.79686643947915,2.3247107409211862,-2.849717617034912,1.3893823623657227,505.8265075683594,079,True,False,True,False,True,True,True,True,True,False,False,False,False,0.5276084542274475
HST F814W,F814W_053_4270432,150.12266677386117,2.052931443878516,-3.4556751251220703,1.3846814632415771,480.0196838378906,053,True,False,True,False,True,True,True,True,True,False,False,False,False,0.4457668364048004
HST F814W,F814W_052_4064160,150.27296184904858,2.0922535952522234,-3.2115488052368164,1.175452709197998,431.90130615234375,052,True,False,True,False,True,True,True,True,True,False,False,False,False,0.41371574997901917
HST F814W,F814W_041_2558931,150.18234225920557,1.8327942364769685,-2.7498176097869873,1.1378039121627808,427.2357482910156,041,True,False,True,False,True,True,True,True,True,False,False,False,False,0.4206887185573578
HST F814W,F814W_051_3667879,150.39640459824886,1.9714088424087657,-3.0654098987579346,1.0779547691345215,385.26397705078125,051,True,False,True,False,True,True,True,True,True,False,False,False,False,0.48401546478271484
HST F814W,F814W_088_8255833,150.26587264313684,2.523030904138718,-3.0051283836364746,1.027355670928955,366.28070068359375,088,True,False,True,False,True,True,True,True,True,False,False,False,False,0.4267529845237732
HST F814W,F814W_076_7109105,150.2790214518719,2.3684080624360813,-2.9861021041870117,0.9579327702522278,364.23040771484375,076,True,False,True,False,True,True,True,True,True,False,False,False,False,0.4358576536178589
HST F814W,F814W_054_4330432,149.9605676962208,1.9828764452513394,-2.993095874786377,0.9414973258972168,351.6810607910156,054,True,False,True,False,True,True,True,True,True,False,False,False,False,0.4878031611442566
HST F814W,F814W_041_2621847,150.09238320144655,1.9320548781337157,-2.883871078491211,0.9088886976242065,341.280029296875,041,True,False,True,False,True,True,True,True,True,False,False,False,False,0.4727391004562378
HST F814W,F814W_041_2524982,150.18443560999975,1.7989329852891374,-2.675366163253784,0.8599278330802917,322.8956298828125,041,True,False,True,False,True,True,True,True,True,False,False,False,False,0.5007923245429993
HST F814W,F814W_090_8646946,150.00343328051267,2.517395793811504,-2.384965181350708,0.8414711356163025,305.3472900390625,090,True,False,True,False,True,True,True,True,True,False,False,False,False,0.49718478322029114
HST F814W,F814W_042_2810428,149.9208248800818,1.8981402212862233,-2.4494469165802,0.8037644624710083,277.02032470703125,042,True,False,True,False,True,True,True,True,True,False,False,False,False,0.47561711072921753
HST F814W,F814W_090_8704770,149.91421019396995,2.6056278320925483,-2.878934144973755,0.7510764598846436,272.5455017089844,090,True,False,True,False,True,True,True,True,True,False,False,False,False,0.4702295660972595
HST F814W,F814W_090_8637306,149.9029827019219,2.499799873923012,-2.802468776702881,0.748872697353363,271.7458190917969,090,True,False,True,False,True,True,True,True,True,False,False,False,False,0.42073488235473633
HST F814W,F814W_042_2729167,150.02903137340272,1.8437349040306683,-2.0718953609466553,0.7360216379165649,253.67250061035156,042,True,False,True,False,True,True,True,True,True,False,False,False,False,0.7512722611427307
HST F814W,F814W_077_7206457,150.07700635106227,2.349160041893324,-2.7636144161224365,0.6558513641357422,247.00958251953125,077,True,False,True,False,True,True,True,True,True,False,False,False,False,0.4243270456790924
HST F814W,F814W_090_8635535,149.98820401304513,2.4969964022587265,-2.5392630100250244,0.6777580976486206,245.9402313232422,090,True,False,True,False,True,True,True,True,True,False,False,False,False,0.48849353194236755
HST F814W,F814W_089_8428890,150.0939730392242,2.4843364150638343,-2.5185933113098145,0.6547765135765076,224.83139038085938,089,True,False,True,False,True,True,True,True,True,False,False,False,False,0.49045100808143616
HST F814W,F814W_089_8609520,150.09722295393226,2.6164821060604426,-2.539492130279541,0.6055512428283691,207.92884826660156,089,True,False,True,False,True,True,True,True,True,False,False,False,False,0.42662325501441956
HST F814W,F814W_042_2729168,150.02900871761014,1.843743687562051,-2.109041452407837,0.5962126851081848,205.48684692382812,042,True,False,True,False,True,True,True,True,True,False,False,False,False,0.635537326335907
HST F814W,F814W_029_1209558,150.1924937266495,1.7845618120187987,-2.6129708290100098,0.7171809673309326,199.66429138183594,029,True,False,True,False,True,True,True,True,True,False,False,False,False,0.41104114055633545
HST F814W,F814W_064_5448705,150.2870858652837,2.2196898988881646,-2.4666025638580322,0.5441752672195435,199.3726806640625,064,True,False,True,False,True,True,True,True,True,False,False,False,False,0.5313159227371216
HST F814W,F814W_040_2470285,150.36165204899459,1.9185674556834942,-2.311279058456421,0.5042470693588257,194.7971649169922,040,True,False,True,False,True,True,True,True,True,False,False,False,False,0.49177151918411255
HST F814W,F814W_089_8492082,150.11726995505512,2.5559826994204786,-2.5030670166015625,0.5505428314208984,189.04055786132812,089,True,False,True,False,True,True,True,True,True,False,False,False,False,0.4040287137031555
HST F814W,F814W_041_2563819,150.17201885707442,1.8420903872026388,-2.242384433746338,0.49445366859436035,185.66317749023438,041,True,False,True,False,True,True,True,True,True,False,False,False,False,0.49023935198783875
HST F814W,F814W_075_7055637,150.49174195240184,2.4463211049240368,-2.0705957412719727,0.4515100121498108,167.98391723632812,075,True,False,True,False,True,True,True,True,True,False,False,False,False,0.5089805722236633
HST F814W,F814W_067_6116223,149.88147088401706,2.227778901718991,-2.0464043617248535,0.45144468545913696,161.6113739013672,067,True,False,True,False,True,True,True,True,True,False,False,False,False,0.5651808977127075
HST F814W,F814W_042_2819689,149.96436386528026,1.9276935032190043,-2.209953784942627,0.45996853709220886,158.52981567382812,042,True,False,True,False,True,True,True,True,True,False,False,False,False,0.4129287004470825
HST F814W,F814W_052_3898409,150.2553328948413,2.0323294548846773,-2.06259822845459,0.414059579372406,152.1395721435547,052,True,False,True,False,True,True,True,True,True,False,False,False,False,0.482084184885025
HST F814W,F814W_090_8656585,149.91362488829327,2.5345144537967705,-2.050119400024414,0.4124140739440918,149.6540069580078,090,True,False,True,False,True,True,True,True,True,False,False,False,False,0.42568981647491455
HST F814W,F814W_075_7045650,150.42966953423633,2.4272195508026737,-2.0369646549224854,0.399126797914505,148.49478149414062,075,True,False,True,False,True,True,True,True,True,False,False,False,False,0.44689568877220154
HST F814W,F814W_090_8647122,150.0220935900998,2.517785925099673,-2.1391992568969727,0.40026792883872986,145.24649047851562,090,True,False,True,False,True,True,True,True,True,False,False,False,False,0.44944339990615845
HST F814W,F814W_054_4430943,149.94141288820745,2.127194015959055,-2.096724271774292,0.38079991936683655,142.24163818359375,054,True,False,True,False,True,True,True,True,True,False,False,False,False,0.4028175473213196
HST F814W,F814W_066_6005869,149.91286246071203,2.254427857864689,-2.3147618770599365,0.4281339645385742,140.52806091308594,066,True,False,True,False,True,True,True,True,True,False,False,False,False,0.46575039625167847
HST F814W,F814W_077_7270653,150.14123933599396,2.4522329634024347,-1.7627226114273071,0.3559528887271881,134.06051635742188,077,True,False,True,False,True,True,True,True,True,False,False,False,False,0.5310140252113342
HST F814W,F814W_090_8634700,149.9853154602605,2.495875423185038,-1.8954871892929077,0.3660423755645752,132.82696533203125,090,True,False,True,False,True,True,True,True,True,False,False,False,False,0.44217434525489807
