primary_id,jwst_id,desi_targetid,desi_type,desi_z,desi_zerr,desi_zwarn,desi_sep,our_cls,is_agn,F814W,gaia_pmra,gaia_pmdec,gaia_pmtot,gaia_pmtoterr,gaia_pmra_err,gaia_pmdec_err,pmtot_HST_Euclid_VIS,pmerr_HST_Euclid_VIS,pmflag_HST_Euclid_VIS,pmtot_HST_Euclid_NISP,pmerr_HST_Euclid_NISP,pmflag_HST_Euclid_NISP,pmtot_HST_JWST,pmerr_HST_JWST,pmflag_HST_JWST,pmtot_JWST_Euclid_VIS,pmerr_JWST_Euclid_VIS,pmflag_JWST_Euclid_VIS,pmtot_JWST_Euclid_NISP,pmerr_JWST_Euclid_NISP,pmflag_JWST_Euclid_NISP
192404,192404.0,3.908983755010229e+16,galaxy,1.20772257061363,7.775333499145252e-05,0.0,0.030730559297988527,star,False,21.580265,,,,,,,3.3986532312252304,1.9383248901367136,ok,3.2987558342028946,2.3321246384388,ok,4.335321332217144,1.6644750733641107,ok,51.965463212372,36.05792238064347,ok,51.965463212372,63.3319298903582,ok
195672,195672.0,3.908983755009987e+16,galaxy,1.4029452014648953,0.0001301950362705308,4.0,0.02455806328224212,star,False,23.55245,,,,,,,8.755280617264802,2.151741577633813,ok,7.555889398876118,2.8925125104172644,ok,3.411025510226644,1.6663671284687414,ok,53.96991905784138,36.07738199781137,ok,53.96991905784138,63.69660253599952,ok
195470,195470.0,3.9089837550099864e+16,star,0.0007035085983662433,7.935129753496104e-06,0.0,0.07540870052854783,star,False,20.266676,,,,,,,5.955567316654659,1.7398734957402355,ok,1.8327515231286375,2.352681400024018,ok,11.474889619522651,1.6643861865444247,ok,77.31634829171459,36.05660859926682,ok,77.31634829171459,63.36613614275545,ok
198135,198135.0,3.9089837420061736e+16,quasar,2.6875348371696868,0.0002115097125733073,0.0,0.027658862697749188,AGN/QSO,True,22.348528,,,,,,,9.832110189647405,1.8088155295626058,ok,9.832110189647405,2.736398887584289,ok,2.3082984877004793,1.6646646712028355,ok,15.417831477860888,36.06031961606586,ok,15.417831477860888,63.429954727822256,ok
199389,199389.0,3.908983754591466e+16,star,0.00019500970195334598,1.382217887256779e-05,0.0,0.1054700125230232,star,False,20.760559,,,,,,,9.842222121240253,2.1123105702165246,ok,3.2090359078217907,2.3408134880854568,ok,15.889722935348791,1.6644059357798286,ok,36.74340149413205,36.05802011767821,ok,36.74340149413205,63.2871800399541,ok
193648,193648.0,3.908983739492166e+16,star,0.000702629824519794,1.3041683880459887e-05,0.0,0.07886171993378935,star,False,20.127102,,,,,,,5.893441052669187,1.8654573475412728,ok,5.893441052669187,2.4047327873451683,ok,11.651048822548185,1.664383158652682,ok,39.572722596112996,36.05615746314521,ok,39.572722596112996,63.28397854473081,ok
200173,200173.0,3.962783555545127e+16,star,0.000359593765818616,8.044630608997866e-06,0.0,0.05348692051365117,star,False,18.320574,-0.7163167688788188,-11.004855022819717,11.028143261068807,0.5057060689853142,0.27894407510757446,0.4218161106109619,5.970460283889351,1.812018753157878,ok,5.970460283889351,2.4604573635699123,ok,13.691957948352556,1.6643612721912537,gaia_consistent,11.102797168051195,36.05563523658487,gaia_consistent,11.102797168051195,63.283760190655784,gaia_consistent
193982,193982.0,3.908983754591463e+16,star,0.0002344375088721169,1.565808110829847e-05,0.0,0.08438883573898034,star,False,20.291838,,,,,,,1.98935814409425,1.8036236286588208,ok,1.98935814409425,2.6373138595948236,ok,13.348501932012637,1.6643871701409736,ok,53.12673882242908,36.05631629945637,ok,53.12673882242908,63.28485011382037,ok
195362,195362.0,3.908983755008132e+16,star,-3.145007593969718e-05,1.3905751655884558e-05,0.0,0.018811218731030296,star,False,20.890675,,,,,,,5.3798519188151745,2.373494285077245,ok,9.257449993389324,2.3564898525837545,ok,4.325010559021314,1.664413097189645,ok,11.994389986919625,36.05675452927652,ok,11.994389986919625,63.31403506719482,ok
193619,193619.0,3.908983754591462e+16,star,0.0003374134205741267,3.500082493895539e-05,0.0,0.006127842267560744,star,False,21.301336,,,,,,,6.185896909757148,1.78640780363735,ok,6.185896909757148,2.4092723707824453,ok,4.154679531733382,1.6644460335091382,ok,24.40060003076809,36.07078451945518,ok,24.40060003076809,63.52233281210479,ok
