found_in,star_id,ra,dec,mag,peak,snr,tile,missing_jwst,missing_hst,in_jwst_fp,in_hst_fp,missing_euclid,in_euclid_fp,in_jwst_pix,in_hst_pix,real_orphan,veto_gaia,veto_peak,veto_local,veto_any,sharpness
Euclid VIS,VIS_101541376_0522727,149.86238392444204,1.839800477810453,0.7460123300552368,0.04078007489442825,35.46158218383789,101541376,False,True,False,True,False,False,False,True,True,False,False,False,False,0.6357361078262329
Euclid VIS,VIS_101541376_0491676,149.87907115869208,1.6330806233922635,1.093898057937622,0.040779151022434235,35.46078109741211,101541376,False,True,False,True,False,False,False,True,True,False,False,False,False,0.6428617835044861
Euclid VIS,VIS_101541376_0523448,149.73370583823493,1.8448633209521548,0.7274267077445984,0.040777888149023056,35.45968246459961,101541376,False,True,False,True,False,False,False,True,True,False,False,False,False,0.5655177235603333
Euclid VIS,VIS_101544256_1145168,149.71761718908263,2.2221530890170205,1.1811884641647339,0.04021324962377548,35.45491027832031,101544256,False,True,False,True,False,False,False,True,True,False,False,False,False,0.6390931010246277
JWST F115W,F115W_A8_0568414,150.10542610757042,1.99517689821472,-3.0942087173461914,1.0551944971084595,35.45484924316406,A8,False,True,False,True,True,True,False,True,True,False,False,False,False,0.6719706058502197
Euclid VIS,VIS_101541376_0521050,149.82059078405354,1.8290172891544618,1.1325509548187256,0.04077231511473656,35.454837799072266,101541376,False,True,False,True,False,False,False,True,True,False,False,False,False,0.6844136118888855
JWST F115W,F115W_B10_0728265,150.42036596839336,2.2643474987939265,-2.9365973472595215,1.0776824951171875,35.451351165771484,B10,False,True,False,True,True,True,True,True,True,False,False,False,False,0.6666725873947144
Euclid VIS,VIS_101541376_0526822,149.67564083998644,1.8668408351960377,0.5037670731544495,0.040766436606645584,35.44972229003906,101541376,False,True,False,True,False,False,False,True,True,False,False,False,False,0.6754982471466064
JWST F115W,F115W_B5_0965766,150.51076669766726,2.4258658669461868,-2.894237995147705,1.0884950160980225,35.44927978515625,B5,False,True,False,True,False,True,True,True,True,False,False,False,False,0.6611457467079163
Euclid VIS,VIS_101541375_0448464,149.52257720159233,1.6305082106587243,1.1519832611083984,0.04548263922333717,35.44785690307617,101541375,False,True,False,True,False,False,False,True,True,False,False,False,False,0.6920344829559326
Euclid VIS,VIS_101542817_0848988,150.1817698564356,2.088366836178442,0.27574989199638367,0.04821305721998215,35.446224212646484,101542817,True,True,True,True,False,False,False,True,True,False,False,False,False,0.6003720760345459
JWST F115W,F115W_A1_0054737,149.8414418964896,2.2670925812424527,-3.1268954277038574,0.99989914894104,35.44232940673828,A1,False,True,False,True,True,True,True,True,True,False,False,False,False,0.6772459149360657
Euclid VIS,VIS_101541379_0556235,150.52862203336497,1.6363431318903014,0.9110864400863647,0.052818141877651215,35.440185546875,101541379,False,True,False,True,False,False,False,True,True,False,False,False,False,0.6575921773910522
Euclid VIS,VIS_101547136_1914471,150.2831135317623,2.777327469664996,0.9527021050453186,0.06826788187026978,35.43489456176758,101547136,False,True,False,True,False,False,False,True,True,False,False,False,False,0.7914060354232788
Euclid VIS,VIS_101539940_0385953,150.66803762259943,1.6077472878623769,0.1735539585351944,0.11495019495487213,35.43180465698242,101539940,False,True,False,True,False,False,False,True,True,False,False,False,False,0.6835779547691345
JWST F115W,F115W_A1_0055744,149.7971312133642,2.2858268539308333,-3.089878797531128,0.9995952844619751,35.43156051635742,A1,False,True,False,True,True,True,True,True,True,False,False,False,False,0.6696158647537231
Euclid VIS,VIS_101544257_1188853,150.2278842197771,2.113809135026016,0.3452471196651459,0.044189952313899994,35.431392669677734,101544257,True,True,True,True,False,False,True,True,True,False,False,False,False,0.5850579142570496
Euclid VIS,VIS_101541376_0506471,149.68420516583973,1.7352640904270553,0.3107554018497467,0.04074409604072571,35.4302978515625,101541376,False,True,False,True,False,False,False,True,True,False,False,False,False,0.6113832592964172
Euclid VIS,VIS_101547137_2004225,150.43254674363723,2.724442988956599,0.8427274227142334,0.06637571007013321,35.426422119140625,101547137,False,True,False,True,False,False,False,True,True,False,False,False,False,0.7539963722229004
Euclid VIS,VIS_101541376_0506498,149.69967565385514,1.7354478319141131,0.8566493391990662,0.04073946177959442,35.426265716552734,101541376,False,True,False,True,False,False,False,True,True,False,False,False,False,0.6287344098091125
Euclid VIS,VIS_101541376_0515898,149.68162668297722,1.7964916362382932,1.44410240650177,0.04073880985379219,35.42570114135742,101541376,False,True,False,True,False,False,False,True,True,False,False,False,False,0.7300013899803162
Euclid VIS,VIS_101544256_1185455,149.7984271831231,2.3865600556003765,0.44172513484954834,0.04017927870154381,35.42496109008789,101544256,False,True,False,True,False,False,False,True,True,False,False,False,False,0.5546484589576721
