found_in,star_id,ra,dec,mag,peak,snr,tile,missing_jwst,missing_hst,in_jwst_fp,in_hst_fp,missing_euclid,in_euclid_fp,in_jwst_pix,in_hst_pix,real_orphan,vetoed_by_sat_v2,sharpness
JWST F115W,F115W_A4_0333372,150.235212084788,2.144962116595253,-6.604784965515137,41.63932418823242,1410.325927734375,A4,False,True,False,True,False,True,True,True,True,False,0.6653536558151245
Euclid VIS,VIS_101544254_1089983,149.45925459671227,2.3145892435911852,-3.5891313552856445,2.3003668785095215,1409.02001953125,101544254,False,True,False,True,False,False,False,True,True,False,0.6286795139312744
JWST F115W,F115W_B7_1084602,150.00329794748376,2.4075181230852167,-6.967026710510254,41.40467834472656,1405.831298828125,B7,False,True,False,True,True,True,False,True,True,False,0.6503241062164307
Euclid VIS,VIS_101545697_1548630,150.21806689028205,2.5005724869471573,-3.28342866897583,2.0131521224975586,1403.627685546875,101545697,False,True,True,True,False,False,True,True,True,False,0.65263432264328
JWST F115W,F115W_B2_0790056,150.1076322362987,2.569253296593602,-6.082691192626953,41.750648498535156,1399.701171875,B2,False,True,False,True,False,True,True,True,True,False,0.6826200485229492
JWST F115W,F115W_A3_0234550,150.03184912673825,2.1376829846139764,-6.667716979980469,40.46275329589844,1393.5924072265625,A3,False,True,False,True,False,True,True,True,True,False,0.619529664516449
Euclid VIS,VIS_101542817_0847914,150.0176408871075,2.0797640821072476,-2.726701259613037,1.8868039846420288,1387.1776123046875,101542817,False,True,True,True,False,False,True,True,True,False,0.6881268620491028
JWST F115W,F115W_A9_0588066,150.20805656042793,1.7897125364171171,-6.741312026977539,40.879459381103516,1383.9266357421875,A9,False,True,False,True,True,True,True,True,True,False,0.646150529384613
Euclid VIS,VIS_101545697_1547910,150.23054093879284,2.4950174855692473,-3.3004226684570312,1.9734561443328857,1375.9505615234375,101545697,False,True,True,True,False,False,True,True,True,False,0.6701332330703735
JWST F115W,F115W_B3_0838013,150.23329399812584,2.476265007960151,-7.018121719360352,40.2768669128418,1363.850341796875,B3,False,True,False,True,True,True,True,True,True,False,0.6200381517410278
JWST F115W,F115W_B8_1140166,150.11469364355455,2.3327783536869524,-6.705049514770508,39.35760498046875,1363.3504638671875,B8,False,True,False,True,False,True,False,True,True,False,0.6311733722686768
JWST F115W,F115W_A3_0272653,150.17396829876296,2.165011533299127,-5.892508029937744,39.49980163574219,1360.427001953125,A3,False,True,False,True,False,True,True,True,True,False,0.6897346377372742
JWST F115W,F115W_A8_0573404,150.09671138491422,2.0072116233253667,-6.837170124053955,40.32810974121094,1355.0364990234375,A8,False,True,False,True,False,True,True,True,True,False,0.6526771783828735
JWST F115W,F115W_B3_0810471,150.22303558026914,2.3773845183168243,-5.8956122398376465,40.00868606567383,1354.769287109375,B3,False,True,False,True,False,True,True,True,True,False,0.6878871321678162
JWST F115W,F115W_A3_0271358,150.06768722313942,2.1937584325981647,-7.065988540649414,38.90800857543945,1340.044921875,A3,False,True,False,True,True,True,False,True,True,False,0.6061233878135681
