targetid,status,dataset,spectype,survey,path
39089837550102304,not_in_dr1_or_edr,,GALAXY,special,
39089837420058320,not_in_dr1_or_edr,,QSO,special,
39089837545917160,not_in_dr1_or_edr,,STAR,special,
39627841599441104,not_in_dr1_or_edr,,STAR,sv3,
39089837545917144,not_in_dr1_or_edr,,STAR,special,
39627841599440752,not_in_dr1_or_edr,,GALAXY,sv1,
39627835559643288,saved,DESI-DR1,STAR,sv3,/Volumes/exdisk1/data/DESI/cosmos_star/DESI-39627835559643288.fits
39089837424252792,not_in_dr1_or_edr,,STAR,special,
39089837394906608,not_in_dr1_or_edr,,STAR,special,
39089837545917400,not_in_dr1_or_edr,,STAR,special,
39089837394899856,saved,DESI-DR1,GALAXY,special,/Volumes/exdisk1/data/DESI/cosmos_galaxy/DESI-39089837394899856.fits
234538999480321,saved,DESI-DR1,QSO,sv1,/Volumes/exdisk1/data/DESI/cosmos_quasar/DESI-234538999480321.fits
39089837545917176,not_in_dr1_or_edr,,STAR,special,
39089837550096048,not_in_dr1_or_edr,,STAR,special,
39089837550085376,not_in_dr1_or_edr,,GALAXY,special,
39089837550105112,not_in_dr1_or_edr,,STAR,special,
39627841599441952,saved,DESI-DR1,STAR,sv1,/Volumes/exdisk1/data/DESI/cosmos_star/DESI-39627841599441952.fits
39089837394899968,not_in_dr1_or_edr,,STAR,special,
39089837545887776,not_in_dr1_or_edr,,GALAXY,special,
39089837550104112,not_in_dr1_or_edr,,GALAXY,special,
39089837545916960,not_in_dr1_or_edr,,GALAXY,special,
39089837550094992,not_in_dr1_or_edr,,GALAXY,special,
39089837550099048,not_in_dr1_or_edr,,QSO,special,
39089837545916944,not_in_dr1_or_edr,,STAR,special,
39089837550094984,not_in_dr1_or_edr,,GALAXY,special,
39627835559643008,not_in_dr1_or_edr,,QSO,main,
39089837550104856,not_in_dr1_or_edr,,STAR,special,
39627835559642880,not_in_dr1_or_edr,,STAR,main,
39627835559643904,not_in_dr1_or_edr,,GALAXY,sv3,
39089837499752808,not_in_dr1_or_edr,,QSO,special,
39089837545916976,not_in_dr1_or_edr,,STAR,special,
39089837545916968,not_in_dr1_or_edr,,STAR,special,
39627835559643160,not_in_dr1_or_edr,,STAR,sv3,
39089837550100768,not_in_dr1_or_edr,,GALAXY,special,
39627841599442576,not_in_dr1_or_edr,,STAR,main,
39627841599442376,saved,DESI-DR1,STAR,main,/Volumes/exdisk1/data/DESI/cosmos_star/DESI-39627841599442376.fits
39627841599442312,not_in_dr1_or_edr,,QSO,main,
39627841599442016,not_in_dr1_or_edr,,QSO,main,
39089837545916992,not_in_dr1_or_edr,,STAR,special,
39089837394906848,saved,DESI-DR1,STAR,special,/Volumes/exdisk1/data/DESI/cosmos_star/DESI-39089837394906848.fits
39089837550102000,not_in_dr1_or_edr,,STAR,special,
39089837545916984,not_in_dr1_or_edr,,STAR,special,
39089837550082968,not_in_dr1_or_edr,,QSO,special,
39089837550095912,not_in_dr1_or_edr,,GALAXY,special,
39089837545882216,not_in_dr1_or_edr,,GALAXY,special,
39089837550101592,not_in_dr1_or_edr,,GALAXY,special,
39089837550086376,not_in_dr1_or_edr,,STAR,special,
39089837550086416,not_in_dr1_or_edr,,STAR,special,
39089837545917424,not_in_dr1_or_edr,,STAR,special,
39089837394900976,not_in_dr1_or_edr,,STAR,special,
39089837550087248,not_in_dr1_or_edr,,STAR,special,
39089837550103264,not_in_dr1_or_edr,,GALAXY,special,
39089837550094064,not_in_dr1_or_edr,,STAR,special,
39627841599442920,saved,DESI-DR1,STAR,main,/Volumes/exdisk1/data/DESI/cosmos_star/DESI-39627841599442920.fits
39089837545917216,not_in_dr1_or_edr,,STAR,special,
39089837550101608,not_in_dr1_or_edr,,GALAXY,special,
39627841599442640,saved,DESI-DR1,STAR,sv3,/Volumes/exdisk1/data/DESI/cosmos_star/DESI-39627841599442640.fits
39089837545917200,not_in_dr1_or_edr,,STAR,special,
39627835559643768,not_in_dr1_or_edr,,GALAXY,sv3,
39089837424252808,not_in_dr1_or_edr,,STAR,special,
39089837394899984,not_in_dr1_or_edr,,STAR,special,
39089837550097872,not_in_dr1_or_edr,,GALAXY,special,
39089837550088480,not_in_dr1_or_edr,,STAR,special,
39089837545917440,not_in_dr1_or_edr,,STAR,special,
39627847639240176,not_in_dr1_or_edr,,STAR,sv3,
39089837550102888,not_in_dr1_or_edr,,STAR,special,
39089837550102720,not_in_dr1_or_edr,,STAR,special,
39627847639239184,not_in_dr1_or_edr,,GALAXY,sv1,
39627835559643984,saved,DESI-DR1,STAR,sv1,/Volumes/exdisk1/data/DESI/cosmos_star/DESI-39627835559643984.fits
39089837394900192,saved,DESI-DR1,STAR,special,/Volumes/exdisk1/data/DESI/cosmos_star/DESI-39089837394900192.fits
39089837545917232,not_in_dr1_or_edr,,STAR,special,
39627841599443296,saved,DESI-DR1,STAR,sv3,/Volumes/exdisk1/data/DESI/cosmos_star/DESI-39627841599443296.fits
39089837420058376,not_in_dr1_or_edr,,QSO,special,
39089837550102456,not_in_dr1_or_edr,,GALAXY,special,
39627841599442608,not_in_dr1_or_edr,,QSO,sv3,
39089837545917192,not_in_dr1_or_edr,,STAR,special,
39627841599442208,saved,DESI-DR1,STAR,sv3,/Volumes/exdisk1/data/DESI/cosmos_star/DESI-39627841599442208.fits
39089837550097880,not_in_dr1_or_edr,,STAR,special,
39089837550085464,not_in_dr1_or_edr,,GALAXY,special,
39089837394901168,saved,DESI-DR1,GALAXY,special,/Volumes/exdisk1/data/DESI/cosmos_galaxy/DESI-39089837394901168.fits
39089837550100416,not_in_dr1_or_edr,,GALAXY,special,
2305843037793681920,not_in_dr1_or_edr,,STAR,main,
39089837545917416,not_in_dr1_or_edr,,STAR,special,
39089837550088904,not_in_dr1_or_edr,,GALAXY,special,
39089837550104432,not_in_dr1_or_edr,,GALAXY,special,
39627847639239480,not_in_dr1_or_edr,,STAR,sv3,
39089837550088896,not_in_dr1_or_edr,,GALAXY,special,
39089837550105576,not_in_dr1_or_edr,,GALAXY,special,
39089837487165608,not_in_dr1_or_edr,,GALAXY,special,
39089837550090536,not_in_dr1_or_edr,,GALAXY,special,
39089837424252824,not_in_dr1_or_edr,,STAR,special,
39089837394900048,not_in_dr1_or_edr,,STAR,special,
39089837545917208,not_in_dr1_or_edr,,STAR,special,
39627841599442624,saved,DESI-DR1,STAR,sv3,/Volumes/exdisk1/data/DESI/cosmos_star/DESI-39627841599442624.fits
39089837550090136,not_in_dr1_or_edr,,GALAXY,special,
39089837550100424,not_in_dr1_or_edr,,GALAXY,special,
39089837550097648,not_in_dr1_or_edr,,GALAXY,special,
39627847639240064,not_in_dr1_or_edr,,GALAXY,sv3,
39089837550097632,not_in_dr1_or_edr,,STAR,special,
39089837550087464,not_in_dr1_or_edr,,GALAXY,special,
39089837550079120,not_in_dr1_or_edr,,STAR,special,
39089837550084072,not_in_dr1_or_edr,,STAR,special,
39627835559644536,saved,DESI-DR1,QSO,main,/Volumes/exdisk1/data/DESI/cosmos_quasar/DESI-39627835559644536.fits
39627835559644480,saved,DESI-DR1,STAR,sv3,/Volumes/exdisk1/data/DESI/cosmos_star/DESI-39627835559644480.fits
39089837550095824,not_in_dr1_or_edr,,GALAXY,special,
39089837394906840,not_in_dr1_or_edr,,STAR,special,
39089837394900264,saved,DESI-DR1,STAR,special,/Volumes/exdisk1/data/DESI/cosmos_star/DESI-39089837394900264.fits
39627841599443160,saved,DESI-DR1,STAR,sv3,/Volumes/exdisk1/data/DESI/cosmos_star/DESI-39627841599443160.fits
39089837394906952,saved,DESI-DR1,STAR,special,/Volumes/exdisk1/data/DESI/cosmos_star/DESI-39089837394906952.fits
39089837550106312,not_in_dr1_or_edr,,GALAXY,special,
39089837550101400,not_in_dr1_or_edr,,STAR,special,
234532959682560,saved,DESI-DR1,GALAXY,sv1,/Volumes/exdisk1/data/DESI/cosmos_galaxy/DESI-234532959682560.fits
39089837545917008,not_in_dr1_or_edr,,STAR,special,
39089837550095792,not_in_dr1_or_edr,,STAR,special,
234551079075845,saved,DESI-DR1,GALAXY,sv1,/Volumes/exdisk1/data/DESI/cosmos_galaxy/DESI-234551079075845.fits
-834574070,not_in_dr1_or_edr,,GALAXY,special,
39089837394901024,not_in_dr1_or_edr,,STAR,special,
39089837394900280,saved,DESI-DR1,STAR,special,/Volumes/exdisk1/data/DESI/cosmos_star/DESI-39089837394900280.fits
39089837550101288,not_in_dr1_or_edr,,GALAXY,special,
39089837550083936,not_in_dr1_or_edr,,GALAXY,special,
39089837545917256,not_in_dr1_or_edr,,STAR,special,
39089837424251728,not_in_dr1_or_edr,,STAR,special,
39627841599443544,not_in_dr1_or_edr,,STAR,sv3,
39089837550077760,not_in_dr1_or_edr,,QSO,special,
39089837487167096,not_in_dr1_or_edr,,GALAXY,special,
234538999480324,saved,DESI-DR1,GALAXY,sv1,/Volumes/exdisk1/data/DESI/cosmos_galaxy/DESI-234538999480324.fits
39089837545917680,not_in_dr1_or_edr,,STAR,special,
39089837550089016,not_in_dr1_or_edr,,QSO,special,
39089837550097584,not_in_dr1_or_edr,,GALAXY,special,
39089837394907008,not_in_dr1_or_edr,,STAR,special,
39089837550087576,not_in_dr1_or_edr,,GALAXY,special,
39089837550100688,not_in_dr1_or_edr,,STAR,special,
39089837394907000,saved,DESI-DR1,GALAXY,special,/Volumes/exdisk1/data/DESI/cosmos_galaxy/DESI-39089837394907000.fits
39089837394906976,not_in_dr1_or_edr,,STAR,special,
39089837550089912,not_in_dr1_or_edr,,STAR,special,
39089837545917024,not_in_dr1_or_edr,,STAR,special,
39089837550087568,not_in_dr1_or_edr,,GALAXY,special,
39089837550088928,not_in_dr1_or_edr,,GALAXY,special,
39089837550101480,not_in_dr1_or_edr,,STAR,special,
39089837394906880,not_in_dr1_or_edr,,STAR,special,
39089837420059840,not_in_dr1_or_edr,,QSO,special,
39627835559644264,not_in_dr1_or_edr,,QSO,sv1,
39089837545888104,not_in_dr1_or_edr,,GALAXY,special,
39089837394901256,not_in_dr1_or_edr,,STAR,special,
39627841599444264,not_in_dr1_or_edr,,STAR,sv3,
39089837550099960,not_in_dr1_or_edr,,STAR,special,
39089837550097424,not_in_dr1_or_edr,,GALAXY,special,
39627835559644720,not_in_dr1_or_edr,,QSO,main,
39089837394900208,not_in_dr1_or_edr,,GALAXY,special,
39627841599443424,not_in_dr1_or_edr,,STAR,main,
39089837550102472,not_in_dr1_or_edr,,GALAXY,special,
39089837550098952,not_in_dr1_or_edr,,STAR,special,
39627847639241192,not_in_dr1_or_edr,,STAR,main,
39089837545917456,not_in_dr1_or_edr,,STAR,special,
234538999480320,saved,DESI-DR1,STAR,sv1,/Volumes/exdisk1/data/DESI/cosmos_star/DESI-234538999480320.fits
39089837550094704,not_in_dr1_or_edr,,GALAXY,special,
39089837550089624,not_in_dr1_or_edr,,GALAXY,special,
39089837550094696,not_in_dr1_or_edr,,GALAXY,special,
39089837545917504,not_in_dr1_or_edr,,STAR,special,
39627847639241808,not_in_dr1_or_edr,,QSO,main,
39089837545917488,not_in_dr1_or_edr,,STAR,special,
39627847639241288,not_in_dr1_or_edr,,QSO,sv3,
39089837394901296,saved,DESI-DR1,GALAXY,special,/Volumes/exdisk1/data/DESI/cosmos_galaxy/DESI-39089837394901296.fits
39089837424251888,not_in_dr1_or_edr,,STAR,special,
39089837550075952,not_in_dr1_or_edr,,GALAXY,special,
39089837550079016,not_in_dr1_or_edr,,GALAXY,special,
39089837545917056,not_in_dr1_or_edr,,STAR,special,
39627835559645624,not_in_dr1_or_edr,,STAR,sv3,
39089837550087472,not_in_dr1_or_edr,,GALAXY,special,
39089837550080344,not_in_dr1_or_edr,,STAR,special,
39089837394906992,not_in_dr1_or_edr,,GALAXY,special,
39089837550090544,not_in_dr1_or_edr,,GALAXY,special,
39627841599444848,not_in_dr1_or_edr,,STAR,main,
2781007929409544,not_in_dr1_or_edr,,STAR,main,
39627847639241576,not_in_dr1_or_edr,,STAR,sv1,
39089837545917472,not_in_dr1_or_edr,,STAR,special,
39089837394901304,not_in_dr1_or_edr,,GALAXY,special,
39089837545917072,not_in_dr1_or_edr,,STAR,special,
39089837550079008,not_in_dr1_or_edr,,STAR,special,
39089837550089392,not_in_dr1_or_edr,,STAR,special,
39627835559645488,not_in_dr1_or_edr,,STAR,sv3,
39089837545917040,not_in_dr1_or_edr,,STAR,special,
39089837499785128,not_in_dr1_or_edr,,GALAXY,special,
39089837550088432,not_in_dr1_or_edr,,STAR,special,
39089837550089384,not_in_dr1_or_edr,,STAR,special,
39089837545917296,not_in_dr1_or_edr,,STAR,special,
39089837550076592,not_in_dr1_or_edr,,GALAXY,special,
39627841599445192,not_in_dr1_or_edr,,QSO,main,
39089837550101184,not_in_dr1_or_edr,,GALAXY,special,
39089837545917280,not_in_dr1_or_edr,,STAR,special,
39089837550099664,not_in_dr1_or_edr,,STAR,special,
39089837550098560,not_in_dr1_or_edr,,STAR,special,
39089837545917264,not_in_dr1_or_edr,,STAR,special,
39089837394900256,not_in_dr1_or_edr,,STAR,special,
39089837550093920,not_in_dr1_or_edr,,GALAXY,special,
39627847639242024,not_in_dr1_or_edr,,GALAXY,sv1,
39089837550087224,not_in_dr1_or_edr,,GALAXY,special,
39627853679038784,not_in_dr1_or_edr,,STAR,sv3,
2305843037793682944,not_in_dr1_or_edr,,STAR,main,
39089837550080104,not_in_dr1_or_edr,,STAR,special,
39089837550142680,not_in_dr1_or_edr,,GALAXY,special,
39089837550135024,not_in_dr1_or_edr,,QSO,special,
39089837550097152,not_in_dr1_or_edr,,STAR,special,
39089837420059912,not_in_dr1_or_edr,,QSO,special,
39627835559646016,not_in_dr1_or_edr,,GALAXY,sv3,
39089837550106152,not_in_dr1_or_edr,,GALAXY,special,
39089837545917064,not_in_dr1_or_edr,,STAR,special,
39089837550091352,not_in_dr1_or_edr,,GALAXY,special,
39627835559645272,not_in_dr1_or_edr,,QSO,main,
39089837550093760,not_in_dr1_or_edr,,QSO,special,
39089837550092560,not_in_dr1_or_edr,,STAR,special,
39089837394900432,saved,DESI-DR1,STAR,special,/Volumes/exdisk1/data/DESI/cosmos_star/DESI-39089837394900432.fits
39089837550092544,not_in_dr1_or_edr,,STAR,special,
39089837394900360,saved,DESI-DR1,STAR,special,/Volumes/exdisk1/data/DESI/cosmos_star/DESI-39089837394900360.fits
39089837487167248,not_in_dr1_or_edr,,GALAXY,special,
39089837550086320,not_in_dr1_or_edr,,STAR,special,
39089837394900296,not_in_dr1_or_edr,,GALAXY,special,
39089837545921480,not_in_dr1_or_edr,,STAR,special,
39089837550077648,not_in_dr1_or_edr,,STAR,special,
39627853679039176,not_in_dr1_or_edr,,GALAXY,main,
39089837545917720,not_in_dr1_or_edr,,STAR,special,
39627835563835472,not_in_dr1_or_edr,,STAR,main,
39089837550119568,not_in_dr1_or_edr,,GALAXY,special,
39089837394907128,not_in_dr1_or_edr,,STAR,special,
39089837394907120,saved,DESI-DR1,STAR,special,/Volumes/exdisk1/data/DESI/cosmos_star/DESI-39089837394907120.fits
39089837545921280,not_in_dr1_or_edr,,STAR,special,
243341136494609,saved,DESI-DR1,GALAXY,sv1,/Volumes/exdisk1/data/DESI/cosmos_galaxy/DESI-243341136494609.fits
39089837545898064,not_in_dr1_or_edr,,GALAXY,special,
39627847639242040,not_in_dr1_or_edr,,STAR,special,
39089837550094088,not_in_dr1_or_edr,,GALAXY,special,
39089837550102152,not_in_dr1_or_edr,,STAR,special,
39089837550079872,not_in_dr1_or_edr,,GALAXY,special,
39089837550131512,not_in_dr1_or_edr,,GALAXY,special,
39089837545920816,not_in_dr1_or_edr,,STAR,special,
39089837550132760,not_in_dr1_or_edr,,GALAXY,special,
39627835563835448,not_in_dr1_or_edr,,STAR,sv3,
39089837550131504,not_in_dr1_or_edr,,STAR,special,
39089837420058464,not_in_dr1_or_edr,,QSO,special,
39089837394900416,not_in_dr1_or_edr,,STAR,special,
39089837550111920,not_in_dr1_or_edr,,STAR,special,
39089837487165744,not_in_dr1_or_edr,,GALAXY,special,
39089837550084240,not_in_dr1_or_edr,,STAR,special,
39089837550088048,not_in_dr1_or_edr,,STAR,special,
39089837550098960,not_in_dr1_or_edr,,STAR,special,
39089837545917496,not_in_dr1_or_edr,,STAR,special,
39627841599444888,not_in_dr1_or_edr,,STAR,sv1,
39627841599444992,not_in_dr1_or_edr,,STAR,main,
39089837395048976,not_in_dr1_or_edr,,STAR,special,
39627841603633288,not_in_dr1_or_edr,,QSO,sv3,
39627841603634136,not_in_dr1_or_edr,,STAR,sv1,
39627835563836192,not_in_dr1_or_edr,,STAR,sv1,
39089837545881832,not_in_dr1_or_edr,,GALAXY,special,
39627835563835504,not_in_dr1_or_edr,,GALAXY,sv1,
39627847643431160,not_in_dr1_or_edr,,STAR,sv3,
39089837499744496,not_in_dr1_or_edr,,GALAXY,special,
39089837394901528,saved,DESI-DR1,STAR,special,/Volumes/exdisk1/data/DESI/cosmos_star/DESI-39089837394901528.fits
243341132300356,saved,DESI-DR1,GALAXY,sv1,/Volumes/exdisk1/data/DESI/cosmos_galaxy/DESI-243341132300356.fits
39089837550124824,not_in_dr1_or_edr,,QSO,special,
39627841603634280,saved,DESI-DR1,GALAXY,sv3,/Volumes/exdisk1/data/DESI/cosmos_galaxy/DESI-39627841603634280.fits
39089837420113352,not_in_dr1_or_edr,,QSO,special,
39627841603634112,not_in_dr1_or_edr,,STAR,sv3,
39089837550131680,not_in_dr1_or_edr,,GALAXY,special,
39089837395048984,not_in_dr1_or_edr,,STAR,special,
39089837545920840,not_in_dr1_or_edr,,STAR,special,
39089837394907136,saved,DESI-DR1,STAR,special,/Volumes/exdisk1/data/DESI/cosmos_star/DESI-39089837394907136.fits
39089837394907144,not_in_dr1_or_edr,,STAR,special,
39089837395050984,not_in_dr1_or_edr,,STAR,special,
39089837545921288,not_in_dr1_or_edr,,STAR,special,
39627847643431496,saved,DESI-DR1,STAR,sv3,/Volumes/exdisk1/data/DESI/cosmos_star/DESI-39627847643431496.fits
39627847643431632,not_in_dr1_or_edr,,STAR,main,
39627847643431568,not_in_dr1_or_edr,,STAR,sv3,
39089837550132200,not_in_dr1_or_edr,,GALAXY,special,
39089837545921272,not_in_dr1_or_edr,,STAR,special,
39089837550140880,not_in_dr1_or_edr,,GALAXY,special,
39089837545921072,not_in_dr1_or_edr,,STAR,special,
2305843037793686528,not_in_dr1_or_edr,,STAR,sv3,
39089837545888120,not_in_dr1_or_edr,,STAR,special,
39089837550147728,not_in_dr1_or_edr,,STAR,special,
39089837550122848,not_in_dr1_or_edr,,QSO,special,
39089837395049064,not_in_dr1_or_edr,,STAR,special,
2305843037793687040,not_in_dr1_or_edr,,STAR,main,
39627841599445176,not_in_dr1_or_edr,,QSO,sv3,
39089837395050952,saved,DESI-DR1,GALAXY,special,/Volumes/exdisk1/data/DESI/cosmos_galaxy/DESI-39089837395050952.fits
39089837550117344,not_in_dr1_or_edr,,STAR,special,
39089837550117672,not_in_dr1_or_edr,,QSO,special,
39089837545920856,not_in_dr1_or_edr,,STAR,special,
39089837395006016,saved,DESI-DR1,STAR,special,/Volumes/exdisk1/data/DESI/cosmos_star/DESI-39089837395006016.fits
39089837550125128,not_in_dr1_or_edr,,GALAXY,special,
39089837550111296,not_in_dr1_or_edr,,GALAXY,special,
39089837550142688,not_in_dr1_or_edr,,GALAXY,special,
39089837550112512,not_in_dr1_or_edr,,GALAXY,special,
39627841603633840,not_in_dr1_or_edr,,QSO,sv1,
39089837545921064,not_in_dr1_or_edr,,STAR,special,
39089837395049200,saved,DESI-DR1,GALAXY,special,/Volumes/exdisk1/data/DESI/cosmos_galaxy/DESI-39089837395049200.fits
39089837550132320,not_in_dr1_or_edr,,GALAXY,special,
39089837545921088,not_in_dr1_or_edr,,STAR,special,
39627853683229696,not_in_dr1_or_edr,,QSO,sv3,
39089837545891888,not_in_dr1_or_edr,,GALAXY,special,
39089837550140800,not_in_dr1_or_edr,,STAR,special,
39089837545891824,not_in_dr1_or_edr,,GALAXY,special,
39089837550147272,not_in_dr1_or_edr,,STAR,special,
39089837550112208,not_in_dr1_or_edr,,GALAXY,special,
39089837545920824,not_in_dr1_or_edr,,STAR,special,
39089837395051096,saved,DESI-DR1,GALAXY,special,/Volumes/exdisk1/data/DESI/cosmos_galaxy/DESI-39089837395051096.fits
2305843037793683968,saved,DESI-DR1,STAR,sv3,/Volumes/exdisk1/data/DESI/cosmos_star/DESI-2305843037793683968.fits
39089837550117784,not_in_dr1_or_edr,,QSO,special,
39089837550138288,not_in_dr1_or_edr,,STAR,special,
39089837550111328,not_in_dr1_or_edr,,GALAXY,special,
39089837545920848,not_in_dr1_or_edr,,STAR,special,
243329056899129,saved,DESI-DR1,GALAXY,sv1,/Volumes/exdisk1/data/DESI/cosmos_galaxy/DESI-243329056899129.fits
39627835563835816,not_in_dr1_or_edr,,STAR,sv3,
39627847643432472,not_in_dr1_or_edr,,QSO,main,
39089837550144968,not_in_dr1_or_edr,,STAR,special,
39627847643431872,not_in_dr1_or_edr,,STAR,sv3,
39089837550116320,not_in_dr1_or_edr,,GALAXY,special,
39627841603634168,saved,DESI-DR1,STAR,sv3,/Volumes/exdisk1/data/DESI/cosmos_star/DESI-39627841603634168.fits
39089837550125224,not_in_dr1_or_edr,,GALAXY,special,
39089837395049184,not_in_dr1_or_edr,,STAR,special,
39627841603634504,not_in_dr1_or_edr,,GALAXY,main,
