id,T_bb,dm,chi2,dof,chi2_red,is_agn_qso,mag_obs_F814W,magerr_F814W,mag_pred_F814W,mag_obs_F115W,magerr_F115W,mag_pred_F115W,mag_obs_F150W,magerr_F150W,mag_pred_F150W,mag_obs_F277W,magerr_F277W,mag_pred_F277W,mag_obs_F444W,magerr_F444W,mag_pred_F444W,mag_obs_Euclid_VIS,magerr_Euclid_VIS,mag_pred_Euclid_VIS,delta_Euclid_VIS,mag_obs_Euclid_Y,magerr_Euclid_Y,mag_pred_Euclid_Y,delta_Euclid_Y,mag_obs_Euclid_J,magerr_Euclid_J,mag_pred_Euclid_J,delta_Euclid_J,mag_obs_Euclid_H,magerr_Euclid_H,mag_pred_Euclid_H,delta_Euclid_H,mag_obs_CFHT_u,magerr_CFHT_u,mag_pred_CFHT_u,delta_CFHT_u,mag_obs_HSC_g,magerr_HSC_g,mag_pred_HSC_g,delta_HSC_g,mag_obs_HSC_r,magerr_HSC_r,mag_pred_HSC_r,delta_HSC_r,mag_obs_HSC_i,magerr_HSC_i,mag_pred_HSC_i,delta_HSC_i,mag_obs_HSC_z,magerr_HSC_z,mag_pred_HSC_z,delta_HSC_z,mag_obs_HSC_y,magerr_HSC_y,mag_pred_HSC_y,delta_HSC_y,mag_obs_IRAC_ch1,magerr_IRAC_ch1,mag_pred_IRAC_ch1,delta_IRAC_ch1,mag_obs_IRAC_ch2,magerr_IRAC_ch2,mag_pred_IRAC_ch2,delta_IRAC_ch2,mag_obs_IRAC_ch3,magerr_IRAC_ch3,mag_pred_IRAC_ch3,delta_IRAC_ch3,mag_obs_IRAC_ch4,magerr_IRAC_ch4,mag_pred_IRAC_ch4,delta_IRAC_ch4,mag_obs_MIRI_F770W,magerr_MIRI_F770W,mag_pred_MIRI_F770W,delta_MIRI_F770W
193124,3406.18469019924,127.10330302323246,105.79979896995914,3,35.26659965665305,False,23.659901,0.013955,23.49702230416318,22.808922727053343,0.0014930462821236947,22.94255801991119,22.679839793745053,0.0009971986926155959,22.84402119101027,23.407180766695646,0.001025061921597418,23.237858175850775,23.871157947760665,0.0017750218543074257,23.8769022646824,24.074471294594954,0.005570447841465096,23.771820626824535,0.3026506677704184,22.872826611157144,0.009666356960886618,23.005608635653758,-0.13278202449661336,22.693251605254225,0.008459482421700268,22.859230382411553,-0.16597877715732778,22.69240493724166,0.008405206282308005,22.881495664560106,-0.18909072731844745,,,27.627452690412525,,26.219124555797688,0.06235472087276257,25.55884950079556,0.6602750550021277,24.7164108566072,0.019421062106925,24.313113202558895,0.40329765404830553,23.582107249507818,0.007124722340335555,23.606947890627197,-0.024840641119379114,23.1206908706845,0.0072312476195902625,23.288424321558836,-0.1677334508743371,22.9085019486584,0.014173456755298002,23.129968252592477,-0.22146630393407563,,,23.555607085266615,,,,23.908294871801445,,,,24.3082361361285,,,,24.883963103162856,,,,24.823602171725355,
192551,3219.1627171909477,125.10466720506123,106.91499673224781,3,35.638332244082605,False,21.973726,0.00477,21.824822954020462,21.036941465941318,0.0003885189708832275,21.17893854990426,20.86329557855148,0.00025061639490222285,21.033009182292375,21.52117730462528,0.00016109203319237807,21.36118786327232,21.981402301174167,0.0003268125625047487,21.974942779654512,22.54846284672865,0.006208217522201819,22.12394878631551,0.42451406041314144,20.992523306906353,0.010759596898085588,21.256730405426893,-0.26420709852054003,20.873838868789363,0.009365610169193985,21.06370008665536,-0.18986121786599597,20.905859949798977,0.00956262738105483,21.047841234047468,-0.14198128424849088,,,26.33639680825965,,24.925787180530403,0.026669173634833825,24.092632118541232,0.8331550619891708,23.572270834364332,0.00990585226458757,22.734230248092985,0.8380405862713474,21.963008790223167,0.0027381210327635996,21.9507543956948,0.012254394528365964,21.316475506516014,0.002510209892144044,21.59069447239125,-0.2742189658752352,21.03491070584201,0.003873748962968953,21.406646554210425,-0.37173584836841655,21.94819321515159,0.05486058349906566,21.663441792701192,0.2847514224503982,22.249474742078796,0.032135295178993266,22.00546806735423,0.2440066747245666,,,22.39727076663442,,,,22.965363925190147,,,,22.90552956986876,
192231,3245.2378926204156,125.04006576576295,193.1820513950379,3,64.39401713167929,False,21.916632,0.004634,21.71252230380084,20.81694116073592,0.00023494681373693318,21.080031487578594,20.775286384503072,0.000174775430738529,20.941067731976077,21.46488344712308,0.00014988834859301644,21.278913496787524,21.939926790223446,0.00030231870616652243,21.896390905085738,22.49941220872858,0.006732987723410393,22.008164068750872,0.49124813997770644,20.97572118329491,0.013556126553056859,21.15565985132092,-0.17993866802600778,20.851668003884207,0.011901826904780977,20.969486780458638,-0.11781877657443118,20.839329653260684,0.011564644267936589,20.959234261402585,-0.11990460814190129,,,26.168310193378133,,24.886667789309577,0.034093880703472565,23.950208018201963,0.9364597711076144,23.592277807988868,0.015069823430110912,22.60826013721062,0.9840176707782469,21.981867577467916,0.005375043992427366,21.836088377144094,0.14577920032382252,21.316922049318123,0.005000205835588531,21.482101319582227,-0.16517927026410462,21.00729966426624,0.006628822375994734,21.301810440261548,-0.29451077599530606,21.873408672314646,0.04850925349826116,21.583448437078843,0.28996023523580305,22.235639775525602,0.034976445952615315,21.92704368178663,0.30859609373897356,,,22.320043250326123,,,,22.88925818922276,,,,22.829346403127403,
192635,3633.2649140076715,125.87263396426147,69.1210657209317,3,23.040355240310564,False,22.000896,0.004807,21.91379405121944,21.429994488235554,0.00044270984719269334,21.457315314852977,21.202158515071954,0.0002710449751115303,21.40917616414059,21.94220121548212,0.00023880557199329092,21.872556427975596,22.618195174886928,0.0005722406578241616,22.53841251166459,22.36126956618275,0.00556801826479398,22.16103477598827,0.20023479019447876,21.49898681980401,0.01670314012712307,21.50463537711866,-0.005648557314650304,21.27809444973142,0.015021992184600506,21.407858906348338,-0.12976445661691827,21.245380868094514,0.015319859640953221,21.470616367300167,-0.22523549920565245,26.668661821199265,0.19406145575036218,25.634459298751793,1.0342025224474725,23.856277231402252,0.013079479350448599,23.753732139338098,0.10254509206415463,22.581431163821353,0.006797710229959687,22.62979307802621,-0.04836191420485747,21.88822975476166,0.004655120636476051,22.006923791347276,-0.11869403658561595,21.558651458082945,0.005292534462656311,21.73314600931046,-0.17449455122751445,21.34917582624713,0.007388469669097918,21.601983042925283,-0.2528072166781534,22.332401303871855,0.0681060295374412,22.206729062625215,0.12567224124664023,22.73551246470646,0.05016035080056028,22.570727885936236,0.1647845787702238,,,22.979318695962178,,,,23.56317443696919,,,,23.502253657682388,
192404,4554.053393862885,126.63288958413845,98.26613883586182,3,32.75537961195394,False,21.580265,0.003767,21.593020541856248,21.602078802166723,0.0005370690918475816,21.429494357170242,21.294822235203764,0.00029839972290744005,21.529602689065285,22.216491716550543,0.0003569311129048072,22.196244268168016,22.995409101426624,0.0008634156866223406,22.94082288234634,21.754321743204944,0.0040798365375832825,21.747624651473856,0.006697091731087568,21.318294266658246,0.017738230526047245,21.43023098192812,-0.11193671526987359,21.312111894853068,0.014850988732347395,21.4792894361412,-0.1671775412881331,21.39218402714308,0.016135291080493545,21.660928421598783,-0.26874439445570175,23.486858886563862,0.00941864770540216,24.075106609558603,-0.5882477229947405,22.2149811091304,0.0028311190818007016,22.759831271441968,-0.5448501623115689,21.66277795234498,0.002306860219084646,22.00864129700294,-0.3458633446579569,21.42863353682481,0.001890395877769151,21.638105744871297,-0.2094722080464848,21.320030750242275,0.00232663136083095,21.499575608748387,-0.17954485850611235,21.21575770482797,0.004791921784308967,21.44915983632154,-0.23340213149357325,22.74808800469099,0.09434691756992213,22.57859670410312,0.16949130058787176,23.150073513481253,0.0733061620494029,22.97586900501439,0.17420450846686464,,,23.41001031370466,,,,24.01798424790421,,,,23.955407276605385,
195672,2203.2983245159076,124.36645821863287,373.59770568360506,3,124.53256856120169,False,23.55245,0.015526,23.792373753145313,22.441829365159084,0.0022380813555570142,22.37851948958358,22.138268900245478,0.001273441205047565,21.821253383674076,21.76206150690608,0.0004721333600698043,21.56693177724165,21.570156781216845,0.000544428580388649,21.955531791311486,23.765362581271592,0.004446816359124295,24.25375015260832,-0.4883875713367267,22.376659936831146,0.010807213972994965,22.582247546194296,-0.20558760936314968,22.1993855212817,0.010095737717021188,21.98385793104309,0.21552759023861157,21.88379888765207,0.009570062445808195,21.63505061689358,0.24874827075849026,24.228238233689773,0.013596254314470584,31.5054612434118,-7.277223009722029,23.834019342013235,0.007519651811576158,27.77523304318494,-3.941213701171705,23.595784949099983,0.007712264563726824,25.48976511151062,-1.8939801624106387,23.319013560890376,0.006036651250132362,24.066132803959775,-0.7471192430693989,22.908071862244597,0.006277176699507751,23.36415829145173,-0.45608642920713294,22.501367946244827,0.010477957667691665,22.960233059915296,-0.4588651136704698,21.767826912919666,0.04112258870080892,21.731234286280596,0.03659262663907015,21.69560600530124,0.020483963954750252,21.97844085224996,-0.2828348469487203,,,22.298292533319668,,,,22.799384190289672,,,,22.74421020253726,
193883,4235.119185007037,128.31918370908562,188.70592646213547,3,62.901975487378486,False,23.795649,0.015818,23.60280531498978,23.25358317901804,0.0035768121610421713,23.35311223891361,23.108775545181068,0.002333166586819448,23.409984810906437,24.21309761604432,0.0033394140834215823,24.01750260236072,24.79521798951008,0.006711872891504033,24.73910557106835,23.936421090856232,0.005414758444321828,23.7863626774037,0.15005841345253046,23.388909579558963,0.011964317644355271,23.36748008440415,0.021429495154812628,23.265503407380272,0.011233359659818205,23.374021093685982,-0.10851768630571001,23.206254858008286,0.00976303147407936,23.521014900748526,-0.3147600427402395,,,26.451928772794915,,,,24.969418744995423,,,,24.107016929458,,,,23.661688334089362,,,,23.48314408377925,,,,23.409111880638207,,,,24.385801631723396,,,,24.77335116516153,,,,25.200008360980604,,,,25.80090010604954,,,,25.738808750564516,
196859,2000.0,123.8973540520692,448.7026748440618,3,149.56755828135394,True,23.926907,0.040755,24.184005055865526,22.574830976294752,0.0047108589858500145,22.525852342054606,22.191240280319093,0.0023123440625154998,21.833380225972974,21.543607475311788,0.0004854375168846353,21.38248372512423,21.219799246709982,0.0004996484537411521,21.694207112056972,25.34924342812688,0.021365455787724936,24.68506001944519,0.6641834086816907,22.53982833596732,0.020122363974723372,22.770271956364283,-0.23044362039696153,22.0566591706012,0.01694870808553334,22.038344468842936,0.018314701758264107,21.719017083639397,0.01569357578936433,21.57938332908857,0.13963375455082527,24.754104737388527,0.033748926769788724,32.92785916636899,-8.173754428980462,24.407857720459987,0.021849833670007382,28.714202731434455,-4.306345010974468,24.200505893174938,0.024441351235838866,26.135822430294482,-1.9353165371195438,23.708729525385518,0.016618820212437994,24.510016248793846,-0.8012867234083281,23.367768296373825,0.01900990942749492,23.701507157925775,-0.3337388615519501,22.877001750688095,0.027380468921075814,23.22575258096535,-0.34875083027725395,21.34742829049116,0.028702036571098617,21.499751789153862,-0.15232349866270312,21.223199104449144,0.015133139817547192,21.71455038375923,-0.4913512793100878,,,22.00991730699957,,,,22.48835317961003,,,,22.434772686822896,
193728,3298.0235799942725,127.3814828213915,326.1279364139932,3,108.70931213799774,False,24.277939,0.023369,23.959617957730913,23.049787435587668,0.00280381027742854,23.353578218278955,23.088066541225164,0.0022526485705374627,23.228348423923805,23.922266210825455,0.004104291087304709,23.585237359410087,24.120654391367673,0.0033530928303062446,24.21004844986065,24.783991223197827,0.02330762714951007,24.24829927944893,0.5356919437488976,23.189711891331417,0.026922766203004544,23.42493770576158,-0.23522581443016222,23.017156997520285,0.027417873317725022,23.252284464258707,-0.23512746673842244,23.00110876176943,0.02370421816608878,23.253082817227707,-0.2519740554582768,,,28.305184195894498,,27.536242117496954,0.2126616369466509,26.137760560889177,1.398481556607777,26.094050738449948,0.06854685660493472,24.82835857723188,1.265692161218066,24.303310298186027,0.013543465823239386,24.078533292389665,0.22477700579636206,23.56755991609174,0.01066841971182404,23.736552044677083,-0.1689921285853444,23.30175156962837,0.020206557450380976,23.563673219162084,-0.2619216495337149,23.86515543164063,0.2227522150788813,23.89426593745101,-0.02911050581037955,24.11274737823851,0.16378015892312228,24.24095257024007,-0.128205192001559,,,24.636311177631868,,,,25.20773801039229,,,,25.147673600361742,
193707,2082.322735328838,124.88293438409815,430.16755674663335,3,143.38918558221113,False,24.277317,0.031684,24.801372411158127,23.39863197983771,0.0042582689333253146,23.247619445472253,22.947603663965197,0.002290646051573846,22.613153664946523,22.350219105039983,0.0010247171532967775,22.24688934979548,22.25520237771652,0.0012283979965600279,22.591785191334452,25.071867480523142,0.010341421456612985,25.286015645014146,-0.2141481644910037,23.37077446865902,0.02813010207226081,23.4746194406507,-0.10384497199167697,22.972755772671512,0.024074309687317892,22.800007251234334,0.17274852143717823,22.760399691913733,0.022580351212901775,22.388339400013905,0.37206029189982814,25.742112508317817,0.06175384622572188,33.10360067518906,-7.36148816687124,25.420753276339493,0.030630108180962876,29.097297841302293,-3.6765445649628,24.829437058811042,0.021762055130232504,26.644157694578297,-1.8147206357672552,24.261260756140725,0.013207351693857831,25.104737177416467,-0.8434764212757422,23.703620035624844,0.01225978041676855,24.341638536490876,-0.638018500866032,23.517155228779213,0.02464057199056761,23.89669428105502,-0.3795390522758062,22.343663277776923,0.06477723456742102,22.384446000348788,-0.04078272257186555,22.454216514868747,0.03954578702487833,22.61323379185862,-0.15901727698987145,,,22.919166110464516,,,,23.40737158637333,,,,23.353102765709025,
