# n_ref,329
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,322
0.1,0.2,0
0.2,0.3,8
0.3,0.4,6
0.4,0.5,32
0.5,0.6,16
0.6,0.7,30
0.7,0.8,32
0.8,0.9,37
0.9,1.0,68
1.0,1.1,54
1.1,1.2,67
1.2,1.3,67
1.3,1.4,81
1.4,1.5,98
1.5,1.6,91
1.6,1.7,103
1.7,1.8,121
1.8,1.9,101
1.9,2.0,110
2.0,2.1,131
2.1,2.2,130
2.2,2.3,137
2.3,2.4,140
2.4,2.5,168
2.5,2.6,157
2.6,2.7,173
2.7,2.8,173
2.8,2.9,193
2.9,3.0,222
3.0,3.1,219
3.1,3.2,218
3.2,3.3,245
3.3,3.4,215
3.4,3.5,246
3.5,3.6,225
3.6,3.7,241
3.7,3.8,252
3.8,3.9,273
3.9,4.0,259
4.0,4.1,263
4.1,4.2,292
4.2,4.3,300
4.3,4.4,273
4.4,4.5,293
4.5,4.6,303
4.6,4.7,326
4.7,4.8,285
4.8,4.9,303
4.9,5.0,320
