# n_ref,159
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,0
0.2,0.3,0
0.3,0.4,4
0.4,0.5,8
0.5,0.6,12
0.6,0.7,11
0.7,0.8,18
0.8,0.9,25
0.9,1.0,26
1.0,1.1,30
1.1,1.2,29
1.2,1.3,45
1.3,1.4,50
1.4,1.5,49
1.5,1.6,40
1.6,1.7,65
1.7,1.8,56
1.8,1.9,63
1.9,2.0,62
2.0,2.1,70
2.1,2.2,79
2.2,2.3,59
2.3,2.4,81
2.4,2.5,82
2.5,2.6,96
2.6,2.7,100
2.7,2.8,92
2.8,2.9,89
2.9,3.0,106
3.0,3.1,99
3.1,3.2,110
3.2,3.3,121
3.3,3.4,121
3.4,3.5,96
3.5,3.6,132
3.6,3.7,133
3.7,3.8,117
3.8,3.9,150
3.9,4.0,141
4.0,4.1,132
4.1,4.2,175
4.2,4.3,135
4.3,4.4,157
4.4,4.5,148
4.5,4.6,152
4.6,4.7,188
4.7,4.8,161
4.8,4.9,162
4.9,5.0,184
