# n_ref,229
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,225
0.1,0.2,0
0.2,0.3,1
0.3,0.4,16
0.4,0.5,9
0.5,0.6,16
0.6,0.7,26
0.7,0.8,46
0.8,0.9,32
0.9,1.0,37
1.0,1.1,41
1.1,1.2,59
1.2,1.3,75
1.3,1.4,70
1.4,1.5,75
1.5,1.6,91
1.6,1.7,90
1.7,1.8,104
1.8,1.9,113
1.9,2.0,132
2.0,2.1,133
2.1,2.2,134
2.2,2.3,136
2.3,2.4,140
2.4,2.5,152
2.5,2.6,152
2.6,2.7,175
2.7,2.8,162
2.8,2.9,147
2.9,3.0,184
3.0,3.1,176
3.1,3.2,178
3.2,3.3,200
3.3,3.4,211
3.4,3.5,191
3.5,3.6,199
3.6,3.7,202
3.7,3.8,207
3.8,3.9,220
3.9,4.0,233
4.0,4.1,261
4.1,4.2,222
4.2,4.3,272
4.3,4.4,262
4.4,4.5,264
4.5,4.6,258
4.6,4.7,266
4.7,4.8,276
4.8,4.9,323
4.9,5.0,293
