# n_ref,540
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,2
0.2,0.3,14
0.3,0.4,19
0.4,0.5,65
0.5,0.6,55
0.6,0.7,69
0.7,0.8,83
0.8,0.9,114
0.9,1.0,148
1.0,1.1,143
1.1,1.2,131
1.2,1.3,167
1.3,1.4,158
1.4,1.5,184
1.5,1.6,153
1.6,1.7,207
1.7,1.8,230
1.8,1.9,257
1.9,2.0,224
2.0,2.1,256
2.1,2.2,240
2.2,2.3,293
2.3,2.4,288
2.4,2.5,323
2.5,2.6,298
2.6,2.7,313
2.7,2.8,325
2.8,2.9,352
2.9,3.0,366
3.0,3.1,385
3.1,3.2,371
3.2,3.3,403
3.3,3.4,404
3.4,3.5,380
3.5,3.6,431
3.6,3.7,424
3.7,3.8,457
3.8,3.9,476
3.9,4.0,446
4.0,4.1,481
4.1,4.2,492
4.2,4.3,501
4.3,4.4,470
4.4,4.5,540
4.5,4.6,511
4.6,4.7,509
4.7,4.8,550
4.8,4.9,540
4.9,5.0,556
