# n_ref,922
n,within_1arcsec,within_3arcsec,within_5arcsec
0,802,203,51
1,60,230,25
2,21,164,61
3,17,98,67
4,8,58,98
5,10,37,93
6,4,19,83
7,0,7,87
8,0,5,64
9,0,3,50
10,0,5,41
11,0,1,23
12,0,2,14
13,0,1,11
14,0,5,9
15,0,2,7
16,0,3,1
17,0,2,4
18,0,3,2
19,0,2,1
20,0,1,3
21,0,2,2
22,0,5,3
23,0,2,4
24,0,1,3
25,0,4,2
26,0,7,3
27,0,1,3
28,0,2,3
29,0,5,0
30,0,42,104
