# n_ref,263
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,255
0.1,0.2,1
0.2,0.3,0
0.3,0.4,11
0.4,0.5,18
0.5,0.6,16
0.6,0.7,36
0.7,0.8,50
0.8,0.9,40
0.9,1.0,58
1.0,1.1,72
1.1,1.2,86
1.2,1.3,109
1.3,1.4,109
1.4,1.5,111
1.5,1.6,125
1.6,1.7,124
1.7,1.8,125
1.8,1.9,148
1.9,2.0,158
2.0,2.1,162
2.1,2.2,192
2.2,2.3,185
2.3,2.4,196
2.4,2.5,219
2.5,2.6,185
2.6,2.7,225
2.7,2.8,218
2.8,2.9,234
2.9,3.0,224
3.0,3.1,236
3.1,3.2,280
3.2,3.3,259
3.3,3.4,275
3.4,3.5,270
3.5,3.6,261
3.6,3.7,272
3.7,3.8,267
3.8,3.9,301
3.9,4.0,343
4.0,4.1,273
4.1,4.2,338
4.2,4.3,319
4.3,4.4,332
4.4,4.5,371
4.5,4.6,362
4.6,4.7,360
4.7,4.8,355
4.8,4.9,382
4.9,5.0,361
