# n_ref,596
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,11
0.2,0.3,29
0.3,0.4,76
0.4,0.5,63
0.5,0.6,93
0.6,0.7,119
0.7,0.8,170
0.8,0.9,210
0.9,1.0,257
1.0,1.1,243
1.1,1.2,319
1.2,1.3,327
1.3,1.4,324
1.4,1.5,432
1.5,1.6,478
1.6,1.7,493
1.7,1.8,519
1.8,1.9,560
1.9,2.0,619
2.0,2.1,577
2.1,2.2,621
2.2,2.3,673
2.3,2.4,692
2.4,2.5,761
2.5,2.6,781
2.6,2.7,773
2.7,2.8,808
2.8,2.9,827
2.9,3.0,913
3.0,3.1,987
3.1,3.2,973
3.2,3.3,971
3.3,3.4,988
3.4,3.5,986
3.5,3.6,1090
3.6,3.7,1117
3.7,3.8,1165
3.8,3.9,1168
3.9,4.0,1154
4.0,4.1,1245
4.1,4.2,1226
4.2,4.3,1282
4.3,4.4,1333
4.4,4.5,1274
4.5,4.6,1355
4.6,4.7,1338
4.7,4.8,1370
4.8,4.9,1518
4.9,5.0,1448
