# n_ref,497
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,1
0.2,0.3,6
0.3,0.4,23
0.4,0.5,38
0.5,0.6,30
0.6,0.7,54
0.7,0.8,84
0.8,0.9,99
0.9,1.0,110
1.0,1.1,142
1.1,1.2,136
1.2,1.3,174
1.3,1.4,192
1.4,1.5,231
1.5,1.6,290
1.6,1.7,282
1.7,1.8,314
1.8,1.9,339
1.9,2.0,372
2.0,2.1,420
2.1,2.2,411
2.2,2.3,434
2.3,2.4,469
2.4,2.5,511
2.5,2.6,548
2.6,2.7,524
2.7,2.8,560
2.8,2.9,577
2.9,3.0,603
3.0,3.1,582
3.1,3.2,637
3.2,3.3,671
3.3,3.4,636
3.4,3.5,709
3.5,3.6,722
3.6,3.7,671
3.7,3.8,676
3.8,3.9,741
3.9,4.0,735
4.0,4.1,733
4.1,4.2,770
4.2,4.3,756
4.3,4.4,838
4.4,4.5,858
4.5,4.6,829
4.6,4.7,879
4.7,4.8,831
4.8,4.9,885
4.9,5.0,927
