# n_ref,127
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,124
0.1,0.2,0
0.2,0.3,3
0.3,0.4,10
0.4,0.5,21
0.5,0.6,19
0.6,0.7,31
0.7,0.8,45
0.8,0.9,74
0.9,1.0,53
1.0,1.1,84
1.1,1.2,112
1.2,1.3,134
1.3,1.4,129
1.4,1.5,136
1.5,1.6,174
1.6,1.7,202
1.7,1.8,227
1.8,1.9,194
1.9,2.0,237
2.0,2.1,218
2.1,2.2,234
2.2,2.3,274
2.3,2.4,232
2.4,2.5,268
2.5,2.6,265
2.6,2.7,293
2.7,2.8,304
2.8,2.9,315
2.9,3.0,288
3.0,3.1,341
3.1,3.2,330
3.2,3.3,361
3.3,3.4,369
3.4,3.5,374
3.5,3.6,349
3.6,3.7,383
3.7,3.8,397
3.8,3.9,447
3.9,4.0,441
4.0,4.1,484
4.1,4.2,481
4.2,4.3,478
4.3,4.4,463
4.4,4.5,509
4.5,4.6,491
4.6,4.7,496
4.7,4.8,478
4.8,4.9,551
4.9,5.0,579
