# n_ref,605
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,11
0.2,0.3,18
0.3,0.4,25
0.4,0.5,95
0.5,0.6,75
0.6,0.7,90
0.7,0.8,96
0.8,0.9,138
0.9,1.0,208
1.0,1.1,174
1.1,1.2,223
1.2,1.3,217
1.3,1.4,248
1.4,1.5,261
1.5,1.6,274
1.6,1.7,277
1.7,1.8,335
1.8,1.9,338
1.9,2.0,389
2.0,2.1,398
2.1,2.2,380
2.2,2.3,412
2.3,2.4,412
2.4,2.5,418
2.5,2.6,449
2.6,2.7,423
2.7,2.8,500
2.8,2.9,523
2.9,3.0,529
3.0,3.1,510
3.1,3.2,510
3.2,3.3,560
3.3,3.4,599
3.4,3.5,604
3.5,3.6,554
3.6,3.7,617
3.7,3.8,600
3.8,3.9,642
3.9,4.0,673
4.0,4.1,650
4.1,4.2,709
4.2,4.3,696
4.3,4.4,718
4.4,4.5,706
4.5,4.6,752
4.6,4.7,676
4.7,4.8,809
4.8,4.9,825
4.9,5.0,821
