# n_ref,605
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,8
0.2,0.3,85
0.3,0.4,78
0.4,0.5,73
0.5,0.6,105
0.6,0.7,113
0.7,0.8,123
0.8,0.9,172
0.9,1.0,187
1.0,1.1,219
1.1,1.2,225
1.2,1.3,261
1.3,1.4,310
1.4,1.5,340
1.5,1.6,418
1.6,1.7,448
1.7,1.8,442
1.8,1.9,482
1.9,2.0,523
2.0,2.1,504
2.1,2.2,529
2.2,2.3,592
2.3,2.4,624
2.4,2.5,654
2.5,2.6,678
2.6,2.7,709
2.7,2.8,754
2.8,2.9,763
2.9,3.0,806
3.0,3.1,804
3.1,3.2,821
3.2,3.3,815
3.3,3.4,836
3.4,3.5,917
3.5,3.6,901
3.6,3.7,991
3.7,3.8,981
3.8,3.9,928
3.9,4.0,985
4.0,4.1,974
4.1,4.2,1037
4.2,4.3,1045
4.3,4.4,1088
4.4,4.5,1085
4.5,4.6,1122
4.6,4.7,1129
4.7,4.8,1182
4.8,4.9,1200
4.9,5.0,1211
