# n_ref,959
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,0
0.2,0.3,0
0.3,0.4,0
0.4,0.5,1
0.5,0.6,1
0.6,0.7,5
0.7,0.8,16
0.8,0.9,22
0.9,1.0,33
1.0,1.1,38
1.1,1.2,50
1.2,1.3,47
1.3,1.4,47
1.4,1.5,49
1.5,1.6,81
1.6,1.7,73
1.7,1.8,82
1.8,1.9,90
1.9,2.0,96
2.0,2.1,103
2.1,2.2,103
2.2,2.3,117
2.3,2.4,108
2.4,2.5,135
2.5,2.6,128
2.6,2.7,150
2.7,2.8,136
2.8,2.9,140
2.9,3.0,147
3.0,3.1,154
3.1,3.2,192
3.2,3.3,188
3.3,3.4,184
3.4,3.5,196
3.5,3.6,194
3.6,3.7,208
3.7,3.8,225
3.8,3.9,234
3.9,4.0,229
4.0,4.1,216
4.1,4.2,237
4.2,4.3,244
4.3,4.4,201
4.4,4.5,264
4.5,4.6,280
4.6,4.7,292
4.7,4.8,274
4.8,4.9,273
4.9,5.0,315
