# n_ref,544
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,2
0.2,0.3,25
0.3,0.4,42
0.4,0.5,53
0.5,0.6,97
0.6,0.7,116
0.7,0.8,160
0.8,0.9,169
0.9,1.0,212
1.0,1.1,273
1.1,1.2,283
1.2,1.3,351
1.3,1.4,376
1.4,1.5,413
1.5,1.6,493
1.6,1.7,542
1.7,1.8,590
1.8,1.9,605
1.9,2.0,631
2.0,2.1,680
2.1,2.2,724
2.2,2.3,733
2.3,2.4,788
2.4,2.5,862
2.5,2.6,873
2.6,2.7,938
2.7,2.8,939
2.8,2.9,942
2.9,3.0,984
3.0,3.1,1064
3.1,3.2,1073
3.2,3.3,1027
3.3,3.4,1100
3.4,3.5,1098
3.5,3.6,1158
3.6,3.7,1209
3.7,3.8,1151
3.8,3.9,1245
3.9,4.0,1248
4.0,4.1,1346
4.1,4.2,1362
4.2,4.3,1346
4.3,4.4,1370
4.4,4.5,1404
4.5,4.6,1487
4.6,4.7,1488
4.7,4.8,1531
4.8,4.9,1567
4.9,5.0,1576
