# n_ref,936
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,0
0.2,0.3,0
0.3,0.4,0
0.4,0.5,12
0.5,0.6,18
0.6,0.7,27
0.7,0.8,24
0.8,0.9,34
0.9,1.0,39
1.0,1.1,60
1.1,1.2,68
1.2,1.3,76
1.3,1.4,87
1.4,1.5,99
1.5,1.6,103
1.6,1.7,118
1.7,1.8,131
1.8,1.9,160
1.9,2.0,169
2.0,2.1,158
2.1,2.2,173
2.2,2.3,189
2.3,2.4,203
2.4,2.5,198
2.5,2.6,249
2.6,2.7,259
2.7,2.8,219
2.8,2.9,229
2.9,3.0,272
3.0,3.1,270
3.1,3.2,281
3.2,3.3,279
3.3,3.4,299
3.4,3.5,364
3.5,3.6,312
3.6,3.7,328
3.7,3.8,344
3.8,3.9,384
3.9,4.0,374
4.0,4.1,358
4.1,4.2,407
4.2,4.3,369
4.3,4.4,433
4.4,4.5,429
4.5,4.6,456
4.6,4.7,441
4.7,4.8,443
4.8,4.9,469
4.9,5.0,466
