# n_ref,345
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,2
0.2,0.3,6
0.3,0.4,27
0.4,0.5,15
0.5,0.6,35
0.6,0.7,55
0.7,0.8,60
0.8,0.9,87
0.9,1.0,94
1.0,1.1,121
1.1,1.2,142
1.2,1.3,181
1.3,1.4,209
1.4,1.5,232
1.5,1.6,253
1.6,1.7,311
1.7,1.8,328
1.8,1.9,324
1.9,2.0,364
2.0,2.1,353
2.1,2.2,353
2.2,2.3,386
2.3,2.4,386
2.4,2.5,450
2.5,2.6,424
2.6,2.7,448
2.7,2.8,500
2.8,2.9,425
2.9,3.0,478
3.0,3.1,547
3.1,3.2,472
3.2,3.3,530
3.3,3.4,539
3.4,3.5,546
3.5,3.6,533
3.6,3.7,573
3.7,3.8,581
3.8,3.9,592
3.9,4.0,594
4.0,4.1,637
4.1,4.2,612
4.2,4.3,636
4.3,4.4,713
4.4,4.5,672
4.5,4.6,721
4.6,4.7,721
4.7,4.8,743
4.8,4.9,715
4.9,5.0,779
