# n_ref,85
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,0
0.2,0.3,0
0.3,0.4,0
0.4,0.5,2
0.5,0.6,0
0.6,0.7,0
0.7,0.8,2
0.8,0.9,3
0.9,1.0,0
1.0,1.1,1
1.1,1.2,4
1.2,1.3,0
1.3,1.4,3
1.4,1.5,9
1.5,1.6,4
1.6,1.7,7
1.7,1.8,4
1.8,1.9,6
1.9,2.0,4
2.0,2.1,7
2.1,2.2,5
2.2,2.3,5
2.3,2.4,5
2.4,2.5,8
2.5,2.6,10
2.6,2.7,8
2.7,2.8,10
2.8,2.9,16
2.9,3.0,12
3.0,3.1,14
3.1,3.2,14
3.2,3.3,13
3.3,3.4,12
3.4,3.5,16
3.5,3.6,8
3.6,3.7,11
3.7,3.8,13
3.8,3.9,11
3.9,4.0,15
4.0,4.1,16
4.1,4.2,19
4.2,4.3,20
4.3,4.4,12
4.4,4.5,19
4.5,4.6,21
4.6,4.7,17
4.7,4.8,16
4.8,4.9,16
4.9,5.0,17
