# n_ref,136
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,129
0.1,0.2,0
0.2,0.3,3
0.3,0.4,4
0.4,0.5,14
0.5,0.6,8
0.6,0.7,30
0.7,0.8,49
0.8,0.9,47
0.9,1.0,52
1.0,1.1,69
1.1,1.2,63
1.2,1.3,86
1.3,1.4,85
1.4,1.5,125
1.5,1.6,114
1.6,1.7,170
1.7,1.8,152
1.8,1.9,179
1.9,2.0,177
2.0,2.1,154
2.1,2.2,173
2.2,2.3,192
2.3,2.4,210
2.4,2.5,213
2.5,2.6,189
2.6,2.7,213
2.7,2.8,251
2.8,2.9,234
2.9,3.0,232
3.0,3.1,256
3.1,3.2,288
3.2,3.3,297
3.3,3.4,273
3.4,3.5,301
3.5,3.6,300
3.6,3.7,309
3.7,3.8,305
3.8,3.9,298
3.9,4.0,331
4.0,4.1,358
4.1,4.2,365
4.2,4.3,366
4.3,4.4,361
4.4,4.5,391
4.5,4.6,381
4.6,4.7,403
4.7,4.8,416
4.8,4.9,423
4.9,5.0,419
