# n_ref,117
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,117
0.1,0.2,0
0.2,0.3,0
0.3,0.4,3
0.4,0.5,7
0.5,0.6,14
0.6,0.7,20
0.7,0.8,43
0.8,0.9,40
0.9,1.0,43
1.0,1.1,73
1.1,1.2,78
1.2,1.3,104
1.3,1.4,103
1.4,1.5,112
1.5,1.6,132
1.6,1.7,141
1.7,1.8,191
1.8,1.9,177
1.9,2.0,147
2.0,2.1,180
2.1,2.2,202
2.2,2.3,182
2.3,2.4,186
2.4,2.5,218
2.5,2.6,211
2.6,2.7,199
2.7,2.8,225
2.8,2.9,233
2.9,3.0,234
3.0,3.1,245
3.1,3.2,258
3.2,3.3,244
3.3,3.4,278
3.4,3.5,280
3.5,3.6,299
3.6,3.7,279
3.7,3.8,274
3.8,3.9,295
3.9,4.0,328
4.0,4.1,340
4.1,4.2,348
4.2,4.3,343
4.3,4.4,331
4.4,4.5,351
4.5,4.6,341
4.6,4.7,359
4.7,4.8,364
4.8,4.9,399
4.9,5.0,355
