# n_ref,258
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,0
0.2,0.3,0
0.3,0.4,0
0.4,0.5,7
0.5,0.6,12
0.6,0.7,12
0.7,0.8,11
0.8,0.9,21
0.9,1.0,26
1.0,1.1,28
1.1,1.2,40
1.2,1.3,31
1.3,1.4,39
1.4,1.5,47
1.5,1.6,55
1.6,1.7,49
1.7,1.8,69
1.8,1.9,45
1.9,2.0,61
2.0,2.1,77
2.1,2.2,75
2.2,2.3,83
2.3,2.4,88
2.4,2.5,101
2.5,2.6,88
2.6,2.7,101
2.7,2.8,107
2.8,2.9,105
2.9,3.0,87
3.0,3.1,102
3.1,3.2,126
3.2,3.3,120
3.3,3.4,123
3.4,3.5,130
3.5,3.6,124
3.6,3.7,146
3.7,3.8,137
3.8,3.9,163
3.9,4.0,121
4.0,4.1,163
4.1,4.2,152
4.2,4.3,147
4.3,4.4,152
4.4,4.5,168
4.5,4.6,146
4.6,4.7,176
4.7,4.8,179
4.8,4.9,196
4.9,5.0,191
