# n_ref,719
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,0
0.2,0.3,0
0.3,0.4,0
0.4,0.5,0
0.5,0.6,1
0.6,0.7,5
0.7,0.8,12
0.8,0.9,22
0.9,1.0,19
1.0,1.1,43
1.1,1.2,29
1.2,1.3,46
1.3,1.4,40
1.4,1.5,48
1.5,1.6,63
1.6,1.7,76
1.7,1.8,92
1.8,1.9,74
1.9,2.0,91
2.0,2.1,81
2.1,2.2,116
2.2,2.3,104
2.3,2.4,114
2.4,2.5,125
2.5,2.6,135
2.6,2.7,135
2.7,2.8,162
2.8,2.9,144
2.9,3.0,155
3.0,3.1,171
3.1,3.2,146
3.2,3.3,194
3.3,3.4,195
3.4,3.5,181
3.5,3.6,204
3.6,3.7,198
3.7,3.8,216
3.8,3.9,213
3.9,4.0,213
4.0,4.1,219
4.1,4.2,220
4.2,4.3,276
4.3,4.4,241
4.4,4.5,264
4.5,4.6,250
4.6,4.7,251
4.7,4.8,306
4.8,4.9,260
4.9,5.0,279
