# n_ref,338
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,0
0.2,0.3,6
0.3,0.4,27
0.4,0.5,14
0.5,0.6,34
0.6,0.7,53
0.7,0.8,63
0.8,0.9,81
0.9,1.0,95
1.0,1.1,125
1.1,1.2,148
1.2,1.3,164
1.3,1.4,204
1.4,1.5,237
1.5,1.6,254
1.6,1.7,282
1.7,1.8,290
1.8,1.9,346
1.9,2.0,344
2.0,2.1,398
2.1,2.2,355
2.2,2.3,371
2.3,2.4,391
2.4,2.5,432
2.5,2.6,435
2.6,2.7,436
2.7,2.8,454
2.8,2.9,446
2.9,3.0,504
3.0,3.1,533
3.1,3.2,488
3.2,3.3,511
3.3,3.4,564
3.4,3.5,563
3.5,3.6,592
3.6,3.7,555
3.7,3.8,570
3.8,3.9,620
3.9,4.0,626
4.0,4.1,622
4.1,4.2,631
4.2,4.3,642
4.3,4.4,677
4.4,4.5,649
4.5,4.6,658
4.6,4.7,743
4.7,4.8,718
4.8,4.9,747
4.9,5.0,751
