# n_ref,503
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,3
0.2,0.3,19
0.3,0.4,54
0.4,0.5,30
0.5,0.6,88
0.6,0.7,82
0.7,0.8,146
0.8,0.9,158
0.9,1.0,203
1.0,1.1,231
1.1,1.2,271
1.2,1.3,302
1.3,1.4,328
1.4,1.5,420
1.5,1.6,416
1.6,1.7,464
1.7,1.8,506
1.8,1.9,515
1.9,2.0,634
2.0,2.1,602
2.1,2.2,619
2.2,2.3,668
2.3,2.4,695
2.4,2.5,694
2.5,2.6,767
2.6,2.7,805
2.7,2.8,817
2.8,2.9,855
2.9,3.0,965
3.0,3.1,889
3.1,3.2,958
3.2,3.3,919
3.3,3.4,933
3.4,3.5,1067
3.5,3.6,1080
3.6,3.7,1115
3.7,3.8,1133
3.8,3.9,1190
3.9,4.0,1187
4.0,4.1,1145
4.1,4.2,1204
4.2,4.3,1236
4.3,4.4,1303
4.4,4.5,1266
4.5,4.6,1353
4.6,4.7,1379
4.7,4.8,1352
4.8,4.9,1475
4.9,5.0,1409
