# n_ref,559
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,29
0.2,0.3,48
0.3,0.4,56
0.4,0.5,87
0.5,0.6,130
0.6,0.7,136
0.7,0.8,178
0.8,0.9,188
0.9,1.0,223
1.0,1.1,248
1.1,1.2,268
1.2,1.3,324
1.3,1.4,374
1.4,1.5,431
1.5,1.6,484
1.6,1.7,519
1.7,1.8,549
1.8,1.9,600
1.9,2.0,599
2.0,2.1,683
2.1,2.2,687
2.2,2.3,690
2.3,2.4,754
2.4,2.5,786
2.5,2.6,826
2.6,2.7,799
2.7,2.8,900
2.8,2.9,939
2.9,3.0,919
3.0,3.1,963
3.1,3.2,1034
3.2,3.3,1101
3.3,3.4,1086
3.4,3.5,1093
3.5,3.6,1181
3.6,3.7,1158
3.7,3.8,1190
3.8,3.9,1194
3.9,4.0,1283
4.0,4.1,1254
4.1,4.2,1347
4.2,4.3,1295
4.3,4.4,1380
4.4,4.5,1373
4.5,4.6,1407
4.6,4.7,1546
4.7,4.8,1489
4.8,4.9,1551
4.9,5.0,1541
