# n_ref,303
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,301
0.1,0.2,0
0.2,0.3,4
0.3,0.4,14
0.4,0.5,41
0.5,0.6,31
0.6,0.7,28
0.7,0.8,33
0.8,0.9,56
0.9,1.0,84
1.0,1.1,67
1.1,1.2,83
1.2,1.3,96
1.3,1.4,107
1.4,1.5,115
1.5,1.6,126
1.6,1.7,121
1.7,1.8,114
1.8,1.9,121
1.9,2.0,134
2.0,2.1,141
2.1,2.2,162
2.2,2.3,155
2.3,2.4,157
2.4,2.5,151
2.5,2.6,172
2.6,2.7,178
2.7,2.8,191
2.8,2.9,224
2.9,3.0,200
3.0,3.1,267
3.1,3.2,239
3.2,3.3,223
3.3,3.4,216
3.4,3.5,251
3.5,3.6,258
3.6,3.7,251
3.7,3.8,263
3.8,3.9,252
3.9,4.0,243
4.0,4.1,289
4.1,4.2,334
4.2,4.3,320
4.3,4.4,289
4.4,4.5,285
4.5,4.6,346
4.6,4.7,304
4.7,4.8,336
4.8,4.9,317
4.9,5.0,361
