# n_ref,526
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,7
0.2,0.3,18
0.3,0.4,32
0.4,0.5,92
0.5,0.6,73
0.6,0.7,69
0.7,0.8,89
0.8,0.9,136
0.9,1.0,177
1.0,1.1,150
1.1,1.2,151
1.2,1.3,189
1.3,1.4,247
1.4,1.5,230
1.5,1.6,242
1.6,1.7,270
1.7,1.8,285
1.8,1.9,274
1.9,2.0,306
2.0,2.1,330
2.1,2.2,334
2.2,2.3,343
2.3,2.4,382
2.4,2.5,406
2.5,2.6,393
2.6,2.7,405
2.7,2.8,420
2.8,2.9,428
2.9,3.0,464
3.0,3.1,465
3.1,3.2,489
3.2,3.3,517
3.3,3.4,508
3.4,3.5,555
3.5,3.6,532
3.6,3.7,543
3.7,3.8,548
3.8,3.9,552
3.9,4.0,551
4.0,4.1,589
4.1,4.2,613
4.2,4.3,635
4.3,4.4,620
4.4,4.5,635
4.5,4.6,678
4.6,4.7,657
4.7,4.8,710
4.8,4.9,699
4.9,5.0,740
