# n_ref,127
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,126
0.1,0.2,0
0.2,0.3,2
0.3,0.4,9
0.4,0.5,5
0.5,0.6,13
0.6,0.7,15
0.7,0.8,44
0.8,0.9,40
0.9,1.0,42
1.0,1.1,57
1.1,1.2,64
1.2,1.3,89
1.3,1.4,88
1.4,1.5,116
1.5,1.6,128
1.6,1.7,139
1.7,1.8,153
1.8,1.9,150
1.9,2.0,119
2.0,2.1,169
2.1,2.2,152
2.2,2.3,195
2.3,2.4,183
2.4,2.5,168
2.5,2.6,188
2.6,2.7,200
2.7,2.8,213
2.8,2.9,197
2.9,3.0,193
3.0,3.1,201
3.1,3.2,260
3.2,3.3,224
3.3,3.4,226
3.4,3.5,267
3.5,3.6,255
3.6,3.7,275
3.7,3.8,257
3.8,3.9,267
3.9,4.0,282
4.0,4.1,278
4.1,4.2,320
4.2,4.3,326
4.3,4.4,309
4.4,4.5,332
4.5,4.6,321
4.6,4.7,364
4.7,4.8,331
4.8,4.9,392
4.9,5.0,355
