# n_ref,451
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,6
0.2,0.3,21
0.3,0.4,37
0.4,0.5,100
0.5,0.6,90
0.6,0.7,99
0.7,0.8,117
0.8,0.9,131
0.9,1.0,191
1.0,1.1,195
1.1,1.2,227
1.2,1.3,244
1.3,1.4,245
1.4,1.5,284
1.5,1.6,307
1.6,1.7,332
1.7,1.8,356
1.8,1.9,372
1.9,2.0,405
2.0,2.1,373
2.1,2.2,421
2.2,2.3,445
2.3,2.4,427
2.4,2.5,448
2.5,2.6,499
2.6,2.7,475
2.7,2.8,532
2.8,2.9,523
2.9,3.0,569
3.0,3.1,641
3.1,3.2,591
3.2,3.3,579
3.3,3.4,629
3.4,3.5,671
3.5,3.6,655
3.6,3.7,697
3.7,3.8,667
3.8,3.9,730
3.9,4.0,760
4.0,4.1,735
4.1,4.2,773
4.2,4.3,781
4.3,4.4,802
4.4,4.5,804
4.5,4.6,856
4.6,4.7,834
4.7,4.8,851
4.8,4.9,881
4.9,5.0,901
