# n_ref,326
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,317
0.1,0.2,1
0.2,0.3,3
0.3,0.4,8
0.4,0.5,49
0.5,0.6,24
0.6,0.7,24
0.7,0.8,39
0.8,0.9,51
0.9,1.0,74
1.0,1.1,72
1.1,1.2,59
1.2,1.3,85
1.3,1.4,115
1.4,1.5,107
1.5,1.6,116
1.6,1.7,123
1.7,1.8,143
1.8,1.9,125
1.9,2.0,137
2.0,2.1,141
2.1,2.2,157
2.2,2.3,159
2.3,2.4,187
2.4,2.5,198
2.5,2.6,201
2.6,2.7,197
2.7,2.8,219
2.8,2.9,212
2.9,3.0,238
3.0,3.1,230
3.1,3.2,275
3.2,3.3,263
3.3,3.4,256
3.4,3.5,282
3.5,3.6,248
3.6,3.7,291
3.7,3.8,289
3.8,3.9,264
3.9,4.0,273
4.0,4.1,320
4.1,4.2,312
4.2,4.3,334
4.3,4.4,332
4.4,4.5,333
4.5,4.6,354
4.6,4.7,348
4.7,4.8,352
4.8,4.9,372
4.9,5.0,362
