# n_ref,569
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,25
0.2,0.3,39
0.3,0.4,51
0.4,0.5,57
0.5,0.6,60
0.6,0.7,80
0.7,0.8,98
0.8,0.9,153
0.9,1.0,118
1.0,1.1,170
1.1,1.2,190
1.2,1.3,246
1.3,1.4,283
1.4,1.5,307
1.5,1.6,362
1.6,1.7,365
1.7,1.8,434
1.8,1.9,466
1.9,2.0,497
2.0,2.1,486
2.1,2.2,556
2.2,2.3,546
2.3,2.4,559
2.4,2.5,608
2.5,2.6,624
2.6,2.7,641
2.7,2.8,658
2.8,2.9,696
2.9,3.0,734
3.0,3.1,770
3.1,3.2,789
3.2,3.3,783
3.3,3.4,734
3.4,3.5,842
3.5,3.6,826
3.6,3.7,862
3.7,3.8,862
3.8,3.9,872
3.9,4.0,900
4.0,4.1,860
4.1,4.2,899
4.2,4.3,954
4.3,4.4,900
4.4,4.5,1020
4.5,4.6,1034
4.6,4.7,1020
4.7,4.8,1151
4.8,4.9,1098
4.9,5.0,1095
