# n_ref,571
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,5
0.2,0.3,15
0.3,0.4,35
0.4,0.5,74
0.5,0.6,63
0.6,0.7,105
0.7,0.8,104
0.8,0.9,120
0.9,1.0,180
1.0,1.1,168
1.1,1.2,181
1.2,1.3,232
1.3,1.4,225
1.4,1.5,244
1.5,1.6,271
1.6,1.7,297
1.7,1.8,274
1.8,1.9,340
1.9,2.0,324
2.0,2.1,319
2.1,2.2,331
2.2,2.3,380
2.3,2.4,358
2.4,2.5,383
2.5,2.6,407
2.6,2.7,415
2.7,2.8,467
2.8,2.9,429
2.9,3.0,471
3.0,3.1,499
3.1,3.2,481
3.2,3.3,529
3.3,3.4,505
3.4,3.5,501
3.5,3.6,528
3.6,3.7,525
3.7,3.8,563
3.8,3.9,582
3.9,4.0,589
4.0,4.1,634
4.1,4.2,576
4.2,4.3,634
4.3,4.4,616
4.4,4.5,670
4.5,4.6,668
4.6,4.7,608
4.7,4.8,642
4.8,4.9,719
4.9,5.0,694
