# n_ref,337
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,0
0.2,0.3,9
0.3,0.4,16
0.4,0.5,22
0.5,0.6,23
0.6,0.7,37
0.7,0.8,35
0.8,0.9,64
0.9,1.0,51
1.0,1.1,105
1.1,1.2,123
1.2,1.3,155
1.3,1.4,175
1.4,1.5,180
1.5,1.6,233
1.6,1.7,248
1.7,1.8,281
1.8,1.9,298
1.9,2.0,307
2.0,2.1,297
2.1,2.2,329
2.2,2.3,318
2.3,2.4,334
2.4,2.5,342
2.5,2.6,339
2.6,2.7,365
2.7,2.8,367
2.8,2.9,390
2.9,3.0,417
3.0,3.1,430
3.1,3.2,453
3.2,3.3,448
3.3,3.4,385
3.4,3.5,450
3.5,3.6,430
3.6,3.7,469
3.7,3.8,504
3.8,3.9,478
3.9,4.0,501
4.0,4.1,494
4.1,4.2,544
4.2,4.3,544
4.3,4.4,521
4.4,4.5,576
4.5,4.6,586
4.6,4.7,566
4.7,4.8,642
4.8,4.9,619
4.9,5.0,648
