# n_ref,166
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,0
0.2,0.3,0
0.3,0.4,0
0.4,0.5,3
0.5,0.6,3
0.6,0.7,5
0.7,0.8,11
0.8,0.9,6
0.9,1.0,10
1.0,1.1,9
1.1,1.2,16
1.2,1.3,13
1.3,1.4,21
1.4,1.5,13
1.5,1.6,19
1.6,1.7,18
1.7,1.8,17
1.8,1.9,21
1.9,2.0,31
2.0,2.1,18
2.1,2.2,33
2.2,2.3,36
2.3,2.4,33
2.4,2.5,44
2.5,2.6,44
2.6,2.7,46
2.7,2.8,50
2.8,2.9,46
2.9,3.0,34
3.0,3.1,44
3.1,3.2,42
3.2,3.3,51
3.3,3.4,58
3.4,3.5,64
3.5,3.6,47
3.6,3.7,47
3.7,3.8,58
3.8,3.9,62
3.9,4.0,66
4.0,4.1,63
4.1,4.2,59
4.2,4.3,63
4.3,4.4,68
4.4,4.5,57
4.5,4.6,58
4.6,4.7,71
4.7,4.8,63
4.8,4.9,98
4.9,5.0,70
