# n_ref,832
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,29
0.2,0.3,139
0.3,0.4,231
0.4,0.5,320
0.5,0.6,386
0.6,0.7,486
0.7,0.8,616
0.8,0.9,702
0.9,1.0,668
1.0,1.1,814
1.1,1.2,873
1.2,1.3,924
1.3,1.4,972
1.4,1.5,1038
1.5,1.6,1184
1.6,1.7,1222
1.7,1.8,1264
1.8,1.9,1366
1.9,2.0,1357
2.0,2.1,1483
2.1,2.2,1478
2.2,2.3,1519
2.3,2.4,1578
2.4,2.5,1807
2.5,2.6,1751
2.6,2.7,1757
2.7,2.8,1884
2.8,2.9,1953
2.9,3.0,1935
3.0,3.1,2040
3.1,3.2,2077
3.2,3.3,2131
3.3,3.4,2190
3.4,3.5,2284
3.5,3.6,2338
3.6,3.7,2306
3.7,3.8,2465
3.8,3.9,2520
3.9,4.0,2578
4.0,4.1,2671
4.1,4.2,2706
4.2,4.3,2649
4.3,4.4,2771
4.4,4.5,2751
4.5,4.6,2918
4.6,4.7,2923
4.7,4.8,3183
4.8,4.9,3016
4.9,5.0,3086
