# n_ref,532
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,10
0.2,0.3,17
0.3,0.4,40
0.4,0.5,62
0.5,0.6,94
0.6,0.7,111
0.7,0.8,157
0.8,0.9,177
0.9,1.0,190
1.0,1.1,249
1.1,1.2,282
1.2,1.3,320
1.3,1.4,351
1.4,1.5,417
1.5,1.6,414
1.6,1.7,500
1.7,1.8,531
1.8,1.9,557
1.9,2.0,590
2.0,2.1,651
2.1,2.2,690
2.2,2.3,683
2.3,2.4,731
2.4,2.5,768
2.5,2.6,802
2.6,2.7,817
2.7,2.8,886
2.8,2.9,920
2.9,3.0,963
3.0,3.1,945
3.1,3.2,963
3.2,3.3,995
3.3,3.4,1025
3.4,3.5,1043
3.5,3.6,1057
3.6,3.7,1157
3.7,3.8,1158
3.8,3.9,1191
3.9,4.0,1258
4.0,4.1,1232
4.1,4.2,1224
4.2,4.3,1314
4.3,4.4,1416
4.4,4.5,1380
4.5,4.6,1404
4.6,4.7,1365
4.7,4.8,1444
4.8,4.9,1485
4.9,5.0,1420
