# n_ref,327
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,0
0.2,0.3,4
0.3,0.4,10
0.4,0.5,17
0.5,0.6,17
0.6,0.7,15
0.7,0.8,41
0.8,0.9,48
0.9,1.0,49
1.0,1.1,94
1.1,1.2,101
1.2,1.3,113
1.3,1.4,139
1.4,1.5,163
1.5,1.6,213
1.6,1.7,199
1.7,1.8,218
1.8,1.9,247
1.9,2.0,270
2.0,2.1,304
2.1,2.2,276
2.2,2.3,290
2.3,2.4,294
2.4,2.5,340
2.5,2.6,358
2.6,2.7,340
2.7,2.8,368
2.8,2.9,364
2.9,3.0,397
3.0,3.1,393
3.1,3.2,409
3.2,3.3,428
3.3,3.4,385
3.4,3.5,449
3.5,3.6,458
3.6,3.7,397
3.7,3.8,426
3.8,3.9,444
3.9,4.0,462
4.0,4.1,451
4.1,4.2,491
4.2,4.3,472
4.3,4.4,545
4.4,4.5,539
4.5,4.6,537
4.6,4.7,561
4.7,4.8,548
4.8,4.9,566
4.9,5.0,589
