# n_ref,606
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,2
0.1,0.2,8
0.2,0.3,54
0.3,0.4,115
0.4,0.5,157
0.5,0.6,214
0.6,0.7,253
0.7,0.8,318
0.8,0.9,386
0.9,1.0,421
1.0,1.1,491
1.1,1.2,507
1.2,1.3,570
1.3,1.4,670
1.4,1.5,741
1.5,1.6,797
1.6,1.7,927
1.7,1.8,962
1.8,1.9,1046
1.9,2.0,1134
2.0,2.1,1147
2.1,2.2,1194
2.2,2.3,1297
2.3,2.4,1359
2.4,2.5,1430
2.5,2.6,1482
2.6,2.7,1592
2.7,2.8,1637
2.8,2.9,1662
2.9,3.0,1797
3.0,3.1,1788
3.1,3.2,1921
3.2,3.3,1888
3.3,3.4,1985
3.4,3.5,2073
3.5,3.6,2112
3.6,3.7,2147
3.7,3.8,2099
3.8,3.9,2229
3.9,4.0,2375
4.0,4.1,2338
4.1,4.2,2366
4.2,4.3,2538
4.3,4.4,2551
4.4,4.5,2611
4.5,4.6,2615
4.6,4.7,2774
4.7,4.8,2831
4.8,4.9,2772
4.9,5.0,2884
