# n_ref,557
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,2
0.1,0.2,18
0.2,0.3,44
0.3,0.4,93
0.4,0.5,83
0.5,0.6,137
0.6,0.7,156
0.7,0.8,195
0.8,0.9,249
0.9,1.0,266
1.0,1.1,321
1.1,1.2,345
1.2,1.3,386
1.3,1.4,441
1.4,1.5,448
1.5,1.6,527
1.6,1.7,558
1.7,1.8,636
1.8,1.9,684
1.9,2.0,726
2.0,2.1,719
2.1,2.2,750
2.2,2.3,739
2.3,2.4,788
2.4,2.5,858
2.5,2.6,891
2.6,2.7,916
2.7,2.8,945
2.8,2.9,917
2.9,3.0,1054
3.0,3.1,1045
3.1,3.2,1113
3.2,3.3,1084
3.3,3.4,1131
3.4,3.5,1159
3.5,3.6,1229
3.6,3.7,1213
3.7,3.8,1264
3.8,3.9,1359
3.9,4.0,1290
4.0,4.1,1359
4.1,4.2,1394
4.2,4.3,1434
4.3,4.4,1422
4.4,4.5,1513
4.5,4.6,1545
4.6,4.7,1626
4.7,4.8,1558
4.8,4.9,1580
4.9,5.0,1662
