# n_ref,254
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,249
0.1,0.2,0
0.2,0.3,1
0.3,0.4,4
0.4,0.5,7
0.5,0.6,25
0.6,0.7,39
0.7,0.8,30
0.8,0.9,47
0.9,1.0,61
1.0,1.1,97
1.1,1.2,153
1.2,1.3,226
1.3,1.4,180
1.4,1.5,218
1.5,1.6,222
1.6,1.7,193
1.7,1.8,222
1.8,1.9,213
1.9,2.0,264
2.0,2.1,270
2.1,2.2,272
2.2,2.3,288
2.3,2.4,326
2.4,2.5,370
2.5,2.6,310
2.6,2.7,360
2.7,2.8,393
2.8,2.9,397
2.9,3.0,432
3.0,3.1,381
3.1,3.2,412
3.2,3.3,421
3.3,3.4,478
3.4,3.5,458
3.5,3.6,466
3.6,3.7,495
3.7,3.8,512
3.8,3.9,524
3.9,4.0,510
4.0,4.1,485
4.1,4.2,565
4.2,4.3,555
4.3,4.4,585
4.4,4.5,527
4.5,4.6,588
4.6,4.7,593
4.7,4.8,610
4.8,4.9,685
4.9,5.0,609
