# n_ref,405
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,0
0.2,0.3,0
0.3,0.4,2
0.4,0.5,13
0.5,0.6,21
0.6,0.7,25
0.7,0.8,34
0.8,0.9,40
0.9,1.0,58
1.0,1.1,56
1.1,1.2,80
1.2,1.3,71
1.3,1.4,101
1.4,1.5,107
1.5,1.6,113
1.6,1.7,115
1.7,1.8,94
1.8,1.9,125
1.9,2.0,117
2.0,2.1,141
2.1,2.2,160
2.2,2.3,152
2.3,2.4,157
2.4,2.5,165
2.5,2.6,163
2.6,2.7,174
2.7,2.8,185
2.8,2.9,220
2.9,3.0,212
3.0,3.1,224
3.1,3.2,218
3.2,3.3,257
3.3,3.4,276
3.4,3.5,251
3.5,3.6,254
3.6,3.7,290
3.7,3.8,276
3.8,3.9,279
3.9,4.0,290
4.0,4.1,309
4.1,4.2,329
4.2,4.3,322
4.3,4.4,306
4.4,4.5,350
4.5,4.6,299
4.6,4.7,339
4.7,4.8,342
4.8,4.9,334
4.9,5.0,381
