# n_ref,844
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,38
0.2,0.3,158
0.3,0.4,266
0.4,0.5,359
0.5,0.6,471
0.6,0.7,485
0.7,0.8,633
0.8,0.9,799
0.9,1.0,813
1.0,1.1,857
1.1,1.2,958
1.2,1.3,993
1.3,1.4,1079
1.4,1.5,1185
1.5,1.6,1239
1.6,1.7,1373
1.7,1.8,1437
1.8,1.9,1407
1.9,2.0,1531
2.0,2.1,1586
2.1,2.2,1703
2.2,2.3,1693
2.3,2.4,1770
2.4,2.5,1915
2.5,2.6,1920
2.6,2.7,2007
2.7,2.8,2059
2.8,2.9,2127
2.9,3.0,2188
3.0,3.1,2224
3.1,3.2,2234
3.2,3.3,2365
3.3,3.4,2439
3.4,3.5,2577
3.5,3.6,2507
3.6,3.7,2605
3.7,3.8,2572
3.8,3.9,2764
3.9,4.0,2826
4.0,4.1,3010
4.1,4.2,2908
4.2,4.3,2942
4.3,4.4,3076
4.4,4.5,3192
4.5,4.6,3288
4.6,4.7,3354
4.7,4.8,3339
4.8,4.9,3393
4.9,5.0,3519
