# n_ref,566
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,3
0.2,0.3,12
0.3,0.4,32
0.4,0.5,73
0.5,0.6,69
0.6,0.7,92
0.7,0.8,80
0.8,0.9,108
0.9,1.0,159
1.0,1.1,147
1.1,1.2,144
1.2,1.3,170
1.3,1.4,213
1.4,1.5,210
1.5,1.6,217
1.6,1.7,225
1.7,1.8,285
1.8,1.9,262
1.9,2.0,304
2.0,2.1,314
2.1,2.2,303
2.2,2.3,307
2.3,2.4,372
2.4,2.5,385
2.5,2.6,396
2.6,2.7,380
2.7,2.8,414
2.8,2.9,413
2.9,3.0,425
3.0,3.1,447
3.1,3.2,466
3.2,3.3,436
3.3,3.4,465
3.4,3.5,524
3.5,3.6,500
3.6,3.7,540
3.7,3.8,546
3.8,3.9,545
3.9,4.0,542
4.0,4.1,572
4.1,4.2,582
4.2,4.3,581
4.3,4.4,583
4.4,4.5,613
4.5,4.6,624
4.6,4.7,611
4.7,4.8,668
4.8,4.9,661
4.9,5.0,704
