# n_ref,395
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,0
0.2,0.3,8
0.3,0.4,21
0.4,0.5,19
0.5,0.6,25
0.6,0.7,33
0.7,0.8,38
0.8,0.9,63
0.9,1.0,60
1.0,1.1,100
1.1,1.2,129
1.2,1.3,139
1.3,1.4,192
1.4,1.5,200
1.5,1.6,210
1.6,1.7,220
1.7,1.8,270
1.8,1.9,302
1.9,2.0,284
2.0,2.1,344
2.1,2.2,294
2.2,2.3,354
2.3,2.4,443
2.4,2.5,401
2.5,2.6,420
2.6,2.7,409
2.7,2.8,426
2.8,2.9,465
2.9,3.0,455
3.0,3.1,456
3.1,3.2,475
3.2,3.3,503
3.3,3.4,467
3.4,3.5,525
3.5,3.6,529
3.6,3.7,553
3.7,3.8,552
3.8,3.9,563
3.9,4.0,599
4.0,4.1,594
4.1,4.2,591
4.2,4.3,607
4.3,4.4,648
4.4,4.5,626
4.5,4.6,660
4.6,4.7,680
4.7,4.8,680
4.8,4.9,714
4.9,5.0,691
