# n_ref,908
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,34
0.2,0.3,197
0.3,0.4,351
0.4,0.5,441
0.5,0.6,539
0.6,0.7,622
0.7,0.8,785
0.8,0.9,884
0.9,1.0,1003
1.0,1.1,959
1.1,1.2,1116
1.2,1.3,1195
1.3,1.4,1275
1.4,1.5,1387
1.5,1.6,1374
1.6,1.7,1600
1.7,1.8,1650
1.8,1.9,1688
1.9,2.0,1734
2.0,2.1,1836
2.1,2.2,1904
2.2,2.3,1993
2.3,2.4,2061
2.4,2.5,2094
2.5,2.6,2306
2.6,2.7,2296
2.7,2.8,2332
2.8,2.9,2430
2.9,3.0,2522
3.0,3.1,2558
3.1,3.2,2695
3.2,3.3,2652
3.3,3.4,2767
3.4,3.5,2728
3.5,3.6,2781
3.6,3.7,2949
3.7,3.8,3089
3.8,3.9,3028
3.9,4.0,3207
4.0,4.1,3149
4.1,4.2,3279
4.2,4.3,3388
4.3,4.4,3426
4.4,4.5,3454
4.5,4.6,3451
4.6,4.7,3508
4.7,4.8,3467
4.8,4.9,3683
4.9,5.0,3643
