# n_ref,535
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,0
0.2,0.3,0
0.3,0.4,0
0.4,0.5,1
0.5,0.6,3
0.6,0.7,11
0.7,0.8,11
0.8,0.9,17
0.9,1.0,13
1.0,1.1,28
1.1,1.2,36
1.2,1.3,31
1.3,1.4,39
1.4,1.5,40
1.5,1.6,50
1.6,1.7,69
1.7,1.8,66
1.8,1.9,69
1.9,2.0,75
2.0,2.1,69
2.1,2.2,81
2.2,2.3,102
2.3,2.4,111
2.4,2.5,103
2.5,2.6,114
2.6,2.7,119
2.7,2.8,124
2.8,2.9,154
2.9,3.0,128
3.0,3.1,129
3.1,3.2,150
3.2,3.3,156
3.3,3.4,166
3.4,3.5,174
3.5,3.6,180
3.6,3.7,179
3.7,3.8,170
3.8,3.9,205
3.9,4.0,211
4.0,4.1,192
4.1,4.2,210
4.2,4.3,220
4.3,4.4,208
4.4,4.5,202
4.5,4.6,203
4.6,4.7,238
4.7,4.8,236
4.8,4.9,231
4.9,5.0,267
