# n_ref,355
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,2
0.2,0.3,9
0.3,0.4,41
0.4,0.5,39
0.5,0.6,59
0.6,0.7,76
0.7,0.8,114
0.8,0.9,154
0.9,1.0,133
1.0,1.1,186
1.1,1.2,234
1.2,1.3,215
1.3,1.4,271
1.4,1.5,302
1.5,1.6,325
1.6,1.7,426
1.7,1.8,431
1.8,1.9,462
1.9,2.0,472
2.0,2.1,486
2.1,2.2,473
2.2,2.3,516
2.3,2.4,534
2.4,2.5,537
2.5,2.6,563
2.6,2.7,561
2.7,2.8,616
2.8,2.9,617
2.9,3.0,646
3.0,3.1,702
3.1,3.2,698
3.2,3.3,713
3.3,3.4,644
3.4,3.5,741
3.5,3.6,774
3.6,3.7,748
3.7,3.8,792
3.8,3.9,777
3.9,4.0,823
4.0,4.1,808
4.1,4.2,875
4.2,4.3,895
4.3,4.4,913
4.4,4.5,927
4.5,4.6,897
4.6,4.7,1007
4.7,4.8,963
4.8,4.9,952
4.9,5.0,1031
