# n_ref,293
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,0
0.2,0.3,0
0.3,0.4,0
0.4,0.5,0
0.5,0.6,3
0.6,0.7,1
0.7,0.8,4
0.8,0.9,7
0.9,1.0,5
1.0,1.1,7
1.1,1.2,8
1.2,1.3,18
1.3,1.4,16
1.4,1.5,19
1.5,1.6,29
1.6,1.7,23
1.7,1.8,37
1.8,1.9,26
1.9,2.0,36
2.0,2.1,37
2.1,2.2,39
2.2,2.3,45
2.3,2.4,51
2.4,2.5,48
2.5,2.6,47
2.6,2.7,48
2.7,2.8,45
2.8,2.9,53
2.9,3.0,69
3.0,3.1,70
3.1,3.2,70
3.2,3.3,73
3.3,3.4,75
3.4,3.5,93
3.5,3.6,95
3.6,3.7,85
3.7,3.8,89
3.8,3.9,73
3.9,4.0,97
4.0,4.1,95
4.1,4.2,91
4.2,4.3,115
4.3,4.4,111
4.4,4.5,104
4.5,4.6,107
4.6,4.7,125
4.7,4.8,117
4.8,4.9,115
4.9,5.0,129
