# n_ref,237
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,225
0.1,0.2,0
0.2,0.3,3
0.3,0.4,14
0.4,0.5,8
0.5,0.6,23
0.6,0.7,31
0.7,0.8,59
0.8,0.9,37
0.9,1.0,41
1.0,1.1,62
1.1,1.2,73
1.2,1.3,86
1.3,1.4,90
1.4,1.5,117
1.5,1.6,110
1.6,1.7,123
1.7,1.8,125
1.8,1.9,119
1.9,2.0,116
2.0,2.1,151
2.1,2.2,159
2.2,2.3,162
2.3,2.4,179
2.4,2.5,177
2.5,2.6,181
2.6,2.7,174
2.7,2.8,188
2.8,2.9,200
2.9,3.0,205
3.0,3.1,211
3.1,3.2,204
3.2,3.3,189
3.3,3.4,220
3.4,3.5,228
3.5,3.6,236
3.6,3.7,240
3.7,3.8,273
3.8,3.9,240
3.9,4.0,246
4.0,4.1,255
4.1,4.2,274
4.2,4.3,253
4.3,4.4,275
4.4,4.5,282
4.5,4.6,286
4.6,4.7,307
4.7,4.8,298
4.8,4.9,320
4.9,5.0,329
