# n_ref,210
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,205
0.1,0.2,1
0.2,0.3,3
0.3,0.4,6
0.4,0.5,8
0.5,0.6,15
0.6,0.7,25
0.7,0.8,39
0.8,0.9,46
0.9,1.0,48
1.0,1.1,61
1.1,1.2,68
1.2,1.3,66
1.3,1.4,78
1.4,1.5,90
1.5,1.6,83
1.6,1.7,101
1.7,1.8,133
1.8,1.9,108
1.9,2.0,107
2.0,2.1,120
2.1,2.2,154
2.2,2.3,143
2.3,2.4,132
2.4,2.5,173
2.5,2.6,144
2.6,2.7,179
2.7,2.8,151
2.8,2.9,174
2.9,3.0,176
3.0,3.1,165
3.1,3.2,193
3.2,3.3,189
3.3,3.4,200
3.4,3.5,213
3.5,3.6,228
3.6,3.7,240
3.7,3.8,220
3.8,3.9,219
3.9,4.0,237
4.0,4.1,244
4.1,4.2,234
4.2,4.3,243
4.3,4.4,282
4.4,4.5,279
4.5,4.6,280
4.6,4.7,270
4.7,4.8,254
4.8,4.9,287
4.9,5.0,292
