# n_ref,343
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,0
0.2,0.3,4
0.3,0.4,10
0.4,0.5,11
0.5,0.6,19
0.6,0.7,22
0.7,0.8,30
0.8,0.9,48
0.9,1.0,60
1.0,1.1,99
1.1,1.2,94
1.2,1.3,128
1.3,1.4,140
1.4,1.5,178
1.5,1.6,209
1.6,1.7,260
1.7,1.8,243
1.8,1.9,245
1.9,2.0,275
2.0,2.1,273
2.1,2.2,261
2.2,2.3,316
2.3,2.4,307
2.4,2.5,327
2.5,2.6,329
2.6,2.7,343
2.7,2.8,378
2.8,2.9,340
2.9,3.0,389
3.0,3.1,387
3.1,3.2,383
3.2,3.3,371
3.3,3.4,408
3.4,3.5,422
3.5,3.6,400
3.6,3.7,451
3.7,3.8,444
3.8,3.9,428
3.9,4.0,447
4.0,4.1,454
4.1,4.2,493
4.2,4.3,479
4.3,4.4,519
4.4,4.5,515
4.5,4.6,524
4.6,4.7,545
4.7,4.8,559
4.8,4.9,569
4.9,5.0,585
