# n_ref,318
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,3
0.2,0.3,13
0.3,0.4,31
0.4,0.5,25
0.5,0.6,44
0.6,0.7,44
0.7,0.8,61
0.8,0.9,88
0.9,1.0,75
1.0,1.1,124
1.1,1.2,146
1.2,1.3,156
1.3,1.4,199
1.4,1.5,221
1.5,1.6,254
1.6,1.7,282
1.7,1.8,307
1.8,1.9,297
1.9,2.0,325
2.0,2.1,367
2.1,2.2,306
2.2,2.3,342
2.3,2.4,373
2.4,2.5,420
2.5,2.6,389
2.6,2.7,438
2.7,2.8,398
2.8,2.9,457
2.9,3.0,467
3.0,3.1,471
3.1,3.2,512
3.2,3.3,525
3.3,3.4,532
3.4,3.5,537
3.5,3.6,504
3.6,3.7,574
3.7,3.8,557
3.8,3.9,540
3.9,4.0,600
4.0,4.1,629
4.1,4.2,619
4.2,4.3,625
4.3,4.4,672
4.4,4.5,653
4.5,4.6,701
4.6,4.7,703
4.7,4.8,734
4.8,4.9,724
4.9,5.0,733
