# n_ref,138
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,135
0.1,0.2,0
0.2,0.3,0
0.3,0.4,5
0.4,0.5,17
0.5,0.6,11
0.6,0.7,20
0.7,0.8,34
0.8,0.9,51
0.9,1.0,48
1.0,1.1,61
1.1,1.2,95
1.2,1.3,95
1.3,1.4,103
1.4,1.5,124
1.5,1.6,117
1.6,1.7,149
1.7,1.8,170
1.8,1.9,156
1.9,2.0,165
2.0,2.1,175
2.1,2.2,188
2.2,2.3,219
2.3,2.4,205
2.4,2.5,209
2.5,2.6,246
2.6,2.7,240
2.7,2.8,250
2.8,2.9,258
2.9,3.0,250
3.0,3.1,269
3.1,3.2,273
3.2,3.3,267
3.3,3.4,289
3.4,3.5,260
3.5,3.6,300
3.6,3.7,309
3.7,3.8,320
3.8,3.9,325
3.9,4.0,335
4.0,4.1,311
4.1,4.2,328
4.2,4.3,347
4.3,4.4,406
4.4,4.5,373
4.5,4.6,356
4.6,4.7,364
4.7,4.8,399
4.8,4.9,412
4.9,5.0,368
