# n_ref,303
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,1
0.2,0.3,2
0.3,0.4,16
0.4,0.5,14
0.5,0.6,30
0.6,0.7,42
0.7,0.8,42
0.8,0.9,56
0.9,1.0,79
1.0,1.1,100
1.1,1.2,138
1.2,1.3,155
1.3,1.4,174
1.4,1.5,196
1.5,1.6,196
1.6,1.7,259
1.7,1.8,246
1.8,1.9,305
1.9,2.0,283
2.0,2.1,306
2.1,2.2,295
2.2,2.3,304
2.3,2.4,315
2.4,2.5,339
2.5,2.6,376
2.6,2.7,350
2.7,2.8,412
2.8,2.9,381
2.9,3.0,408
3.0,3.1,426
3.1,3.2,401
3.2,3.3,438
3.3,3.4,442
3.4,3.5,454
3.5,3.6,476
3.6,3.7,449
3.7,3.8,463
3.8,3.9,529
3.9,4.0,544
4.0,4.1,514
4.1,4.2,545
4.2,4.3,560
4.3,4.4,580
4.4,4.5,566
4.5,4.6,588
4.6,4.7,579
4.7,4.8,620
4.8,4.9,633
4.9,5.0,621
