# n_ref,534
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,4
0.2,0.3,23
0.3,0.4,69
0.4,0.5,67
0.5,0.6,104
0.6,0.7,137
0.7,0.8,192
0.8,0.9,205
0.9,1.0,226
1.0,1.1,275
1.1,1.2,286
1.2,1.3,357
1.3,1.4,431
1.4,1.5,395
1.5,1.6,433
1.6,1.7,540
1.7,1.8,543
1.8,1.9,605
1.9,2.0,631
2.0,2.1,661
2.1,2.2,695
2.2,2.3,721
2.3,2.4,766
2.4,2.5,841
2.5,2.6,883
2.6,2.7,884
2.7,2.8,949
2.8,2.9,917
2.9,3.0,941
3.0,3.1,994
3.1,3.2,1056
3.2,3.3,1099
3.3,3.4,1039
3.4,3.5,1058
3.5,3.6,1176
3.6,3.7,1146
3.7,3.8,1209
3.8,3.9,1212
3.9,4.0,1188
4.0,4.1,1311
4.1,4.2,1276
4.2,4.3,1286
4.3,4.4,1323
4.4,4.5,1345
4.5,4.6,1401
4.6,4.7,1442
4.7,4.8,1451
4.8,4.9,1512
4.9,5.0,1475
