# n_ref,296
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,0
0.2,0.3,0
0.3,0.4,0
0.4,0.5,0
0.5,0.6,1
0.6,0.7,2
0.7,0.8,4
0.8,0.9,4
0.9,1.0,15
1.0,1.1,13
1.1,1.2,12
1.2,1.3,13
1.3,1.4,27
1.4,1.5,23
1.5,1.6,34
1.6,1.7,27
1.7,1.8,21
1.8,1.9,28
1.9,2.0,21
2.0,2.1,40
2.1,2.2,36
2.2,2.3,43
2.3,2.4,45
2.4,2.5,43
2.5,2.6,41
2.6,2.7,53
2.7,2.8,52
2.8,2.9,51
2.9,3.0,50
3.0,3.1,60
3.1,3.2,73
3.2,3.3,82
3.3,3.4,83
3.4,3.5,82
3.5,3.6,67
3.6,3.7,90
3.7,3.8,83
3.8,3.9,80
3.9,4.0,100
4.0,4.1,91
4.1,4.2,96
4.2,4.3,99
4.3,4.4,91
4.4,4.5,109
4.5,4.6,97
4.6,4.7,109
4.7,4.8,109
4.8,4.9,108
4.9,5.0,127
